,ampiltude,real_c_-15,real_c_-14,real_c_-13,real_c_-12,real_c_-11,real_c_-10,real_c_-9,real_c_-8,real_c_-7,real_c_-6,real_c_-5,real_c_-4,real_c_-3,real_c_-2,real_c_-1,real_c_0,real_c_1,real_c_2,real_c_3,real_c_4,real_c_5,real_c_6,real_c_7,real_c_8,real_c_9,real_c_10,real_c_11,real_c_12,real_c_13,real_c_14,real_c_15,img_c_-15,img_c_-14,img_c_-13,img_c_-12,img_c_-11,img_c_-10,img_c_-9,img_c_-8,img_c_-7,img_c_-6,img_c_-5,img_c_-4,img_c_-3,img_c_-2,img_c_-1,img_c_0,img_c_1,img_c_2,img_c_3,img_c_4,img_c_5,img_c_6,img_c_7,img_c_8,img_c_9,img_c_10,img_c_11,img_c_12,img_c_13,img_c_14,img_c_15
13,0.8283394093610947,-0.06990914738655532,-0.0012487362692643784,0.0332567692170333,0.02609294027760013,0.08706967450995644,0.043218558369838116,0.09900470091000703,-0.12048519693842386,-0.005661156225046322,-0.19626212922226127,-0.028499466365910962,0.15519342673119868,0.10766572558423979,-0.10242596112068346,0.022105018481260216,0.17924087256492519,-0.23991077237523287,-0.17559224827274206,-0.21447797902417204,-0.11397011377075408,0.02564974781036442,-0.1361979405980147,0.034881980773243976,-0.03687898884245981,-0.10754947256336103,-0.09703076033132836,0.04440782784847913,0.008492032551612957,-0.026866362178108404,0.010026515166332628,0.0024903949729977934,0.0060506188130550614,-0.016076513540719768,0.051061011478711595,0.01902991807974143,0.0799940358471669,-0.0237443860033627,0.10436216897893064,0.0703668664508626,0.1315827969307995,0.1949169084781593,-0.08491229830547005,-0.27058569990827575,-0.1393836515980408,0.00657147127421403,0.13486561018155813,-0.06841297314348557,0.09100105177804545,-0.01831364724864696,-0.19819779438424334,-0.039272751248117424,-0.07208007763780039,0.005399486308695739,-0.06631811684205767,0.045460740757039646,-0.005974937525828434,-0.017873599307409727,-0.013817498130954124,0.01225765720920707,0.0030688295497513507,-0.10248140552512786,-0.018698055872716255
14,0.7756730512759948,-0.04813388555464013,0.006358078732755041,0.04969185299153252,0.011563772577187138,0.06169799264574296,0.038966215321339086,0.10818009920074709,-0.12669570714348447,0.007362617661061005,-0.20719081237475778,-0.020021366496997317,0.18587094591539643,0.1405505151615375,-0.0664393542725253,0.020850347834329288,0.20321643090471503,-0.24257852621804651,-0.17563752803688684,-0.19212619545101933,-0.1325526054817341,0.0464278678648319,-0.15612939397461623,0.034660342388466395,-0.026324513881223872,-0.0860506154470265,-0.08962972041006312,0.0533646478257731,0.006108583338483504,-0.029876054928206608,0.0021911620886141785,-0.015042552328880649,-0.0017324541588909607,0.013901970534269233,0.030034645156149373,0.017106940023035644,0.08667885512731138,0.012692838527046085,0.09248721328102565,0.03538056305032611,0.11830284427695144,0.19220973295442745,-0.11456389170877451,-0.2835294937766796,-0.1544814439953679,0.01608684019077791,0.1480356749057315,-0.07584445561477295,0.09111254980168344,-0.03740372633850256,-0.19708156181913444,-0.014582262104044261,-0.08181108652951075,0.04792602881604403,-0.04978817469012091,0.078455307455887,0.019556122259987194,-0.014527826852092645,-0.023938424112349956,0.027492250267984686,-0.013707648521247312,-0.089962677969666,-0.04526444260234183
15,0.9616909369529791,-0.04734318233233264,0.00853089335957025,0.06644205375620302,0.014131084860770278,0.0430056564087439,0.02036378860258416,0.0857471246307552,-0.15121778190564233,-0.0077841138064871866,-0.2159806271652926,-0.013482706323607822,0.1936649462157416,0.1817022993969041,-0.058099519936876676,0.022351959652723536,0.19519715586881098,-0.23459457585248036,-0.1706136458887336,-0.2018800504284484,-0.15329271016176144,0.029548955624559815,-0.17682986271440254,0.033984179991909336,-0.0313789272364123,-0.08168065498369655,-0.13938208940286692,0.03488559356552699,0.010706767335011814,-0.04235248681975774,0.005866972567997642,0.008868458284849171,0.02892099876342023,-0.011362121567891195,0.04192606484001841,-0.00987640938902059,0.0816411252319608,-0.003733897662488144,0.08912615924287591,0.05095752897894351,0.1236804368385561,0.18404044771996783,-0.11121869734837744,-0.2698851130925482,-0.15593740562154348,0.0004268629801897489,0.1399468969191556,-0.07668512098562438,0.08984842552502602,-0.025888345648684707,-0.16438526600666117,-0.013037925696536687,-0.08713506729208456,0.03052672718682981,-0.06553171130652435,0.031601886231712305,0.01725427437843205,-0.025151894939115918,-0.03930564997635629,0.050708821813632746,0.009075796010846366,-0.06749847740932712,-0.05472407432596047
16,0.8054750977671398,-0.04118953642028509,0.01725045641239077,0.08806639912052584,-0.007255170628047045,0.047767051361094694,0.032523535112895345,0.0945039907363448,-0.14487681801755425,-0.026985761099177615,-0.19490433373074065,-0.03732815088091218,0.19199147815612624,0.16386398924316892,-0.050609860831503456,0.019179624030614805,0.17334360747248376,-0.20922017856532982,-0.16131623724774383,-0.19872515398391055,-0.1532605993954848,0.05304665888522106,-0.16847035688800452,0.04306000935807649,-0.043763366954966396,-0.062485117847821986,-0.13035392848892022,0.04066629587075089,-0.006695627938073394,-0.033785451946823274,0.0020437441694435214,0.017050948713408814,0.023606518284429952,-0.01918608408642765,0.031454315465127614,-0.004263347511440862,0.09119509161388918,-0.0225247846864612,0.08351187461811732,0.04819063133375773,0.12455531558416418,0.18058005148766124,-0.10486016947247265,-0.2551908498241569,-0.21044604488787208,-0.005872149800131183,0.12759838639368823,-0.0889899451797634,0.1136431192336403,-0.05190656506456534,-0.12683981760284763,-0.027768780803531515,-0.02987020344552896,0.04103826771736733,-0.09006256204493568,0.0462133363489056,0.027545998478678085,-0.015061840075450604,-0.05322709853761006,0.025511123263707552,0.00829841735354121,-0.08728086767095072,-0.056770950942735744
17,0.8296681425128064,-0.04118953642028509,0.01725045641239077,0.08806639912052584,-0.007255170628047045,0.047767051361094694,0.032523535112895345,0.0945039907363448,-0.14487681801755425,-0.026985761099177615,-0.19490433373074065,-0.03732815088091218,0.19199147815612624,0.16386398924316892,-0.050609860831503456,0.019179624030614805,0.17334360747248376,-0.20922017856532982,-0.16131623724774383,-0.19872515398391055,-0.1532605993954848,0.05304665888522106,-0.16847035688800452,0.04306000935807649,-0.043763366954966396,-0.062485117847821986,-0.13035392848892022,0.04066629587075089,-0.006695627938073394,-0.033785451946823274,0.0020437441694435214,0.017050948713408814,0.023606518284429952,-0.01918608408642765,0.031454315465127614,-0.004263347511440862,0.09119509161388918,-0.0225247846864612,0.08351187461811732,0.04819063133375773,0.12455531558416418,0.18058005148766124,-0.10486016947247265,-0.2551908498241569,-0.21044604488787208,-0.005872149800131183,0.12759838639368823,-0.0889899451797634,0.1136431192336403,-0.05190656506456534,-0.12683981760284763,-0.027768780803531515,-0.02987020344552896,0.04103826771736733,-0.09006256204493568,0.0462133363489056,0.027545998478678085,-0.015061840075450604,-0.05322709853761006,0.025511123263707552,0.00829841735354121,-0.08728086767095072,-0.056770950942735744
18,0.8636642886445216,-0.028150994789389355,0.003706184232213498,0.06736768206436675,-0.02869250030205104,0.02511763409465024,0.04307685706993093,0.09683570647827203,-0.13062289330767035,-0.027029853352489214,-0.1898755840697772,-0.04425977446603525,0.17405921934034296,0.15928139117609091,-0.025244806149186727,-0.005692749937906919,0.16024492733392529,-0.21995531947689112,-0.17094031235115556,-0.17478190788562323,-0.17060663439687065,0.06673409915057567,-0.16529415440065445,0.05670086035229364,-0.07443025052412972,-0.08933535216410661,-0.14032978865682352,0.04576280303510167,-0.0017818953460961217,-0.01679589194707525,0.006025122889211412,0.04333730058703919,0.030057488473297228,-0.01200612496828691,0.016237665796696284,-0.020756582383441562,0.052031404996612435,-0.039312415932112904,0.05868010616304211,0.08073670193249985,0.14334546563617523,0.18445484310521504,-0.09109478792779944,-0.23267733526132112,-0.20549822896207057,-0.003851617373988244,0.11855163220300519,-0.08360893444617966,0.10632172300953671,-0.06780927107790774,-0.13530497468523917,-0.01946224921100346,-0.006773949778486461,0.029655159281959376,-0.10359563412901196,0.033945817104436116,0.03475050123388961,-0.023456185689290684,-0.03542829540690501,0.03462288031025888,0.006299735270626765,-0.053847838951885066,-0.06889523023997396
19,0.9079671799454988,-0.01748749549532046,-0.0009033797519381222,0.036996044896773946,0.0030280867951319734,0.027213448565127946,0.029155847430588567,0.024891491408934013,-0.10993055901940499,-0.0008085611513251999,-0.17203980869805313,-0.012279590458842471,0.18423065468922856,0.1645372719837116,-0.028330566117082623,-0.007156196064644352,0.1500529873972745,-0.20305187153664717,-0.17627603863544786,-0.18412774224100562,-0.17677819402677275,0.08895553241721567,-0.14123511706904113,0.022367313449572445,-0.06267168151473448,-0.07552501215376602,-0.13649673445157345,0.08326523478701743,-0.018137208949361196,-0.017804645438010462,0.023187003924477957,0.04117607192783814,0.031146314398766597,-0.05100902277474203,0.013137158210306789,-0.0467528407679253,0.007619017576938621,-0.012949921353899548,0.06445362462366595,0.0963550389069843,0.1338478144550313,0.1638544206114376,-0.04869436030228678,-0.23188514608088973,-0.16793055252569578,0.009518349010215362,0.13927627281437344,-0.11032489727512405,0.08631748498750402,-0.031234368624767257,-0.16213640643514673,-0.02534439832241672,6.0052258398024874e-05,0.030482984288516597,-0.08903197962920664,0.027198820583502228,-0.02692878828616262,-0.0877861748668183,-0.012459548457589037,0.028087102681926636,-0.014496166857477148,-0.05085831452758859,-0.0686889444333858
20,0.8119042083784448,-0.006282980357989545,0.0038317927580906776,0.02324535334957644,0.009635708238447342,0.023501832627557413,0.055063620484625986,0.021492005964629003,-0.11540193728263912,0.025161711964426202,-0.1806554619672374,0.005061540370466022,0.16329117493049947,0.16797537784771419,-0.02888118431528797,-0.012569286068441475,0.13583793119187124,-0.20433554899041614,-0.16021809808295662,-0.2069325107841627,-0.1683067047038726,0.08713950479681228,-0.14309379711645726,0.009249842984114609,-0.07012489028472202,-0.07096365101680954,-0.1231808829730037,0.0918512331306888,-0.011031507584657691,-0.047409813346754856,0.011696243452749869,0.04050066434695218,0.026187435141318008,-0.06118790295158659,0.006239042400606447,-0.03636044917616052,-0.009740842521755708,-0.04198013186984309,0.04624442460461767,0.10652068151806263,0.14323963266367967,0.18830596884169606,-0.0706575036918532,-0.23015556724832176,-0.18298954671960593,-0.004364832490206425,0.13571269547032108,-0.14493540258424584,0.09782262451636861,-0.024284507902277205,-0.17570257302934902,-0.024743618906780996,0.008365366500536054,0.020309415241949257,-0.09222638326375429,0.04642642040774565,-0.04094433778255104,-0.09330320149576944,-0.0011307496720263256,0.014340435670366193,-0.03899864172264216,-0.04753415232343688,-0.07614142576405526
21,0.9500369902040536,-0.03827853398595098,0.017451229845287103,0.04101694184771669,-0.014512311452248943,0.037302110549880266,0.08312134999903542,-0.013054943726751651,-0.11321032868656268,0.026170107584723795,-0.163565701225176,0.006039266544381161,0.14970135720721384,0.18578044971236723,-0.06210394123380726,-0.003716884404525977,0.13760520436018772,-0.21815835498773822,-0.15953877410220269,-0.19161565954513357,-0.15842664857724914,0.0993411994718201,-0.14776448179397106,0.040343552712858645,-0.05561715525549113,-0.09394195360661117,-0.10483751952768858,0.10078761220124999,-0.040900733717233205,-0.022911051487227413,0.04483258158973247,0.03771701260879908,0.010156656958978692,-0.06691020934755927,0.02629144282990911,-0.06086560112298368,0.004881981072485346,-0.011202354805288445,0.07353131361822263,0.11834530246343193,0.1342067469898286,0.17491330715143907,-0.047298022442072665,-0.22963088920877014,-0.154069535145393,0.018743883934712414,0.11460572386488718,-0.15012217192842725,0.1166292123289861,-0.020852383140090476,-0.1927539970951264,0.008463419015998359,-0.0017302720950436098,0.02471986287236008,-0.08671043040188482,0.0394200686636096,-0.044756493773702034,-0.10624459413875088,-0.04493271062118713,0.010940384181979927,-0.01977170213891584,-0.03516339687937062,-0.056130516602907486
22,0.7106474072587834,-0.03827853398595098,0.017451229845287103,0.04101694184771669,-0.014512311452248943,0.037302110549880266,0.08312134999903542,-0.013054943726751651,-0.11321032868656268,0.026170107584723795,-0.163565701225176,0.006039266544381161,0.14970135720721384,0.18578044971236723,-0.06210394123380726,-0.003716884404525977,0.13760520436018772,-0.21815835498773822,-0.15953877410220269,-0.19161565954513357,-0.15842664857724914,0.0993411994718201,-0.14776448179397106,0.040343552712858645,-0.05561715525549113,-0.09394195360661117,-0.10483751952768858,0.10078761220124999,-0.040900733717233205,-0.022911051487227413,0.04483258158973247,0.03771701260879908,0.010156656958978692,-0.06691020934755927,0.02629144282990911,-0.06086560112298368,0.004881981072485346,-0.011202354805288445,0.07353131361822263,0.11834530246343193,0.1342067469898286,0.17491330715143907,-0.047298022442072665,-0.22963088920877014,-0.154069535145393,0.018743883934712414,0.11460572386488718,-0.15012217192842725,0.1166292123289861,-0.020852383140090476,-0.1927539970951264,0.008463419015998359,-0.0017302720950436098,0.02471986287236008,-0.08671043040188482,0.0394200686636096,-0.044756493773702034,-0.10624459413875088,-0.04493271062118713,0.010940384181979927,-0.01977170213891584,-0.03516339687937062,-0.056130516602907486
