,amplitude,c_-1,c_0,c_1
0,(0.4227407452976192+0j),(-0.5182051494973289+0.07049624582220113j),(-0.050371233066099697+0.41720275251573596j),(-0.4174661044265695-0.2794728255960523j)
1,(-0.14065361328905235+0j),(0.03145183639616571-0.17725234905974788j),(0.07905068450171172-0.1640931503253898j),(-0.5152918361309706+0.6082727847132257j)
2,(0.40427599669075304+0j),(0.5917117253829781-0.13760786261962168j),(0.0028487946969769085-0.32259355424169184j),(-0.4853931491261443+0.11412067575376006j)
3,(-0.3374101508266114+0j),(-0.08559167098161999+0.09142108925841382j),(0.12383515731296246+0.9869501564396317j),(0.11035801729146369-0.16752674666119532j)
4,(-0.3196843096905283+0j),(-0.0033176815802809234-0.30888031803352956j),(-0.747552134228381-0.20761945817330443j),(0.39187151844138746+0.06865531592981103j)
5,(0.24564812678015135+0j),(-0.09498082704290559-0.414767475266438j),(0.7981695344377997-0.1676736937728859j),(0.07887477239092328-0.1994708482064994j)
6,(0.103654603319972+0j),(0.058036960594155695-0.16187287102746276j),(-0.0425319128616813+0.7855220818823293j),(0.24047035637220526+0.014531654723707835j)
7,(-0.004980058750234606+0j),(0.005019220589081469+0.3460767657517205j),(0.6731143244725283+0.4753979229604326j),(-0.47788889325779027+0.10706901957122027j)
8,(0.736680081001539+0j),(0.00025514752135452623-0.01440156868100273j),(-0.2109132493428908+0.44943274343826023j),(0.5691053405451579-0.22122232216941673j)
9,(-0.01798109177440521+0j),(-0.5258128904583239+0.21816962164280967j),(-0.5495078754714533-0.13813786604172024j),(0.15478936126800022+0.36248980998035396j)
10,(-0.25216930276334615+0j),(-0.5315083721348948+0.02644498627128682j),(-0.33211833590638323-0.6908979563861007j),(-0.024721906049425604+0.15791349912953165j)
11,(-0.2913307127231165+0j),(0.07709190221554299+0.28754763298049496j),(0.7708338357089545-0.5160075898565886j),(0.19024318860734812-0.20265947226486902j)
12,(0.07599569656392662+0j),(-0.06794030178567462-0.01575596384969842j),(0.6106859368125314-0.2893286840741554j),(-0.18622025326992708+0.23139590321653458j)
13,(0.10420506705301247+0j),(0.3972527954013838+0.07771978323522875j),(0.7613367215453026-0.48257561572896057j),(-0.16732269742346284+0.4303852845563156j)
14,(-0.652696965120793+0j),(-0.3689356242722183+0.4973853740716585j),(0.07865726038735903-0.5047315397242893j),(0.15868511353481457-0.4847341914528349j)
15,(-0.30894235963848526+0j),(0.21880868528323905+0.5148780788539739j),(0.4513648615025907+0.6444591168018492j),(-0.1612457573351088-0.48238882176088027j)
16,(0.6299499383384384+0j),(0.15858208467524637+0.0594310909855669j),(-0.49916718050518044-0.5618641558444724j),(-0.3095845311115816-0.06379711955579392j)
17,(-0.7306915148488445+0j),(-0.22482475260914186-0.010250556097370135j),(0.3867894271247559+0.1757807459666477j),(-0.06629379938445343+0.6062470174422977j)
