,amplitude,c_-1,c_0,c_1
0,(0.2881873466121554+0j),(-0.12537594190243467+0.05517678240039815j),(-0.5260529776538602+0.30798814049299567j),(-0.23349439895420743+0.24490166919588252j)
1,(0.01903477548771909+0j),(-0.27728952927850453+0.2880337299864408j),(-0.6202134324632856+0.2905275216466859j),(0.338400654182325+0.16664476611956494j)
2,(0.12128978152273046+0j),(0.05804110839819662+0.1449810852769322j),(-0.8174003607154439+0.39140762260919715j),(0.007679323604986143-0.06234867812088319j)
3,(-0.3176805727788039+0j),(0.001803474780214545-0.3317217582259184j),(-0.7518388908074013+0.2504694640518378j),(-0.2946680097697776-0.28840449972152016j)
4,(-0.18997423106568523+0j),(0.10829535817821496-0.2080533284433016j),(-0.6711309388814857+0.2124703441571118j),(-0.44049180935905136-0.20410400787631247j)
5,(-0.679143659580838+0j),(0.42519743321304937-0.1660774893483546j),(-0.9326694784319759+0.05286377900121335j),(-0.47315501225717055+0.1164519731765775j)
6,(0.657867950589056+0j),(0.16503500890584613-0.13290564823311346j),(-0.5643965906024286-0.5710376708214707j),(-0.30332882846340337-0.08276112420495006j)
7,(-0.6514196501886419+0j),(0.3681311086534216-0.15906646598946428j),(-0.7188682376708411+0.39353953294992494j),(-0.28319442911948894+0.10679635568063885j)
8,(-0.010934903718360117+0j),(0.39063457793668177+0.10137060405854834j),(-0.583638403410116-0.20874520120723358j),(-0.2727489896362941-0.1817058244551113j)
9,(0.7377500721642327+0j),(0.35874504272966223-0.15342168033884834j),(-0.6541082892065897-0.27981774851343527j),(-0.023948658843405385-0.050214603995188595j)
10,(-0.4778722092326695+0j),(0.3147061671259776-0.3581947345115877j),(-0.9170326962221542+0.023335168493140254j),(-0.23225120124184684-0.3200819889667639j)
11,(-0.13834893812211613+0j),(0.6266408068034457+0.19477776819911252j),(-0.5480498057128984+0.08514087399861953j),(-0.3083689793723059+0.20869700445382494j)
12,(0.3929722275646651+0j),(0.5216203139478902-0.3443395326762242j),(-0.3445665356545466-0.48258980950149605j),(-0.1457951855603335+0.045916852574120565j)
13,(-0.018252203311981963+0j),(0.6659150164645351-0.20119880822251404j),(0.30433926795575855-0.21092716040568915j),(0.047776032216953396+0.2967582495800004j)
14,(-0.39326802970150654+0j),(0.8872788296679224-0.5090770548893196j),(-0.1281787083131542+0.17452569364707768j),(0.20078371012384655-0.17536412195041529j)
15,(-0.6136595236696875+0j),(0.26830519798531-0.12044466158277303j),(0.08423814277282222+0.7098497048226571j),(0.445450348367786+0.31492365772119657j)
16,(-0.6235735348302429+0j),(0.17752653527263432-0.4148288372597009j),(-0.06499982982457575+0.7140421858812778j),(0.20432864803213574+0.4955164087342592j)
17,(-0.02369531241986198+0j),(0.3388684761770656-0.01554263220777212j),(-0.08946864916279626+0.7743817384834287j),(0.15548826737136723-0.08834757286485964j)
18,(0.26173218141698207+0j),(-0.0008862411112455226-0.22345191252164057j),(0.7610916374401354+0.3014347929309714j),(0.5348773739134165-0.3507466353850718j)
19,(0.1482405418289965+0j),(-0.11970916901537504-0.06417947494368176j),(0.6091708102791797+0.3992127036817434j),(0.23560085607186668-0.30755099992469775j)
20,(0.27797162780995766+0j),(0.10588768899250181-0.30720623539216224j),(-0.30586064611218+0.9557094876749637j),(0.07772408459110286+0.08995491132393592j)
21,(-0.18524308617019652+0j),(0.4235995042950061+0.17360351881429148j),(-0.5898610819941972+0.26883033824895436j),(-0.3029082916055922+0.041249027220542106j)
22,(0.44466533898425453+0j),(0.015562101539178426-0.2901448407782155j),(-0.7372651440084215+0.0014337419664852656j),(-0.1538959595696955-0.5135342623494927j)
23,(-0.48333916625507856+0j),(-0.42461446851585816-0.029206535742200397j),(-0.605579963795208-0.19902759290550023j),(0.3206820252260344-0.08606564184814991j)
24,(0.08431936414953199+0j),(0.6690035405603716+0.06133001701204707j),(-0.6961796448026718-0.09217889602262891j),(0.017351866874944034+0.09883524138905342j)
25,(-0.30793939677562226+0j),(0.7034250546541931-0.03863347740745504j),(-0.02903210566487037+0.1377661877324098j),(-0.22180875535006636+0.2797036235202531j)
26,(-0.5244827499633433+0j),(0.11746961557572527-0.32378211194743656j),(-0.12307887188446996-0.17717707738509836j),(-0.6434771970282219+0.5908415281394055j)
27,(-0.66712312042807+0j),(0.5153706604653403-0.31300138224396606j),(-0.3052248387200204-0.026621946961514167j),(-0.5192907771365791+0.2221941483149502j)
28,(-0.3690044235430203+0j),(0.5465806260688473-0.17861453980513542j),(-0.3199146891111397+0.2315088063284414j),(-0.1873654877792807+0.3460330350339391j)
29,(0.7430136929219278+0j),(0.22021983468459183-0.7321166757741617j),(-0.4019193835537239+0.2407418274214686j),(-0.26028775973581453-0.11400802134110832j)
30,(-0.2927786224911752+0j),(-0.2502460728546066+0.0161410981689471j),(-0.18751387812666326+0.6452598881623788j),(-0.18931719739120445+0.1405750757252917j)
31,(-0.24327430177055193+0j),(0.014203311977955518+0.21659726205082677j),(0.2831333566460979+0.9397666137828916j),(-0.22900527199143314-0.23991507431687092j)
32,(-0.6174163330823519+0j),(-0.0070963936552799894+0.047264168914227744j),(0.21504848994511766+0.8925031833013204j),(0.10168507717505557-0.27273362607887675j)
33,(-0.04372851700703184+0j),(0.33640524355304435-0.0204592250036241j),(-0.7107325118857565-0.1948922806761656j),(0.04201115246112397-0.19698965636779117j)
34,(0.12960928109514058+0j),(0.40618687957874633+0.1296934331137413j),(-0.4673936251027152+0.17789711748684406j),(0.36142799240750845-0.08867131079665648j)
35,(0.27594120883154005+0j),(0.811781126981791+0.2761806327080683j),(-0.30737245317224166-0.1383225170029222j),(-0.2848192294186169-0.08293851112020717j)
36,(0.09636280755429394+0j),(0.32703304191421745-0.035761927276835054j),(0.13931150080804683-0.11725761436490746j),(-0.6141841028633668+0.26587477508991103j)
37,(-0.5865196521768471+0j),(-0.032574433308929944+0.24259547366789305j),(0.03507764216638781+0.7431108333119235j),(-0.2840495589130097+0.07632361464456j)
38,(-0.498774059949939+0j),(0.17072941039689052-0.05196862396219289j),(0.06432134484380667+0.7758009122648777j),(0.09003915355246933-0.1320586329114888j)
39,(-0.30977295965320023+0j),(-0.010102465874745944-0.2039980497020459j),(0.015153908820975004+0.8494350397422924j),(0.22242518178093165+0.36173853555769453j)
40,(0.6636250886553954+0j),(0.676173015776502-0.4908065410664079j),(-0.21490971027523598+0.6797341351805858j),(-0.4036581676563139-0.041424735524053985j)
41,(0.7949105384730555+0j),(0.6863037295328794-0.422182663475395j),(-0.46066165485399263+0.35385981826693536j),(-0.4061213367311104+0.08001986601919747j)
42,(-0.14678526016192983+0j),(0.4007588127432014+0.41858904540915315j),(-0.7610080132657749+0.0553369457917898j),(-0.13980143739781423+0.08295814865058398j)
43,(-0.29269966680539716+0j),(0.27878119292185355+0.5706303376423937j),(-0.7138105705367591+0.21342770114722207j),(-0.09924811721315265+0.2977552249750103j)
44,(-0.21974535067781187+0j),(0.398074211130609-0.18914656496445037j),(-0.32143515302243897-0.1957051242605705j),(-0.35004186476264293-0.4694249592164124j)
45,(-0.13993749303939718+0j),(-0.07782036769333722+0.6024131360797311j),(-0.17712515609380614+0.44391099479282237j),(0.10828899516873502-0.13401514519494193j)
46,(0.35885165863842733+0j),(-0.1762416448015412+0.26951290724481414j),(0.12770572290164117+0.06212862210406908j),(-0.9595266519450446+0.07888374465796075j)
47,(0.12321563140163916+0j),(0.013589502058498737-0.28371687803939183j),(0.3391325502852429+0.7330107316302191j),(-0.4418231154946494-0.09731571003842725j)
48,(-0.13248784676274883+0j),(0.10011588409503325-0.2887091057998928j),(0.6386848696871493+0.45858786960455505j),(0.2605934472537817-0.23669861159468722j)
49,(-0.5453352900398183+0j),(-0.07947824923785062-0.3165867292170657j),(0.5890193106441645+0.494612796664594j),(0.6078862266046889-0.1968353301004956j)
50,(-0.01866581304763726+0j),(-0.14996779028475532-0.3275542592602548j),(0.6270818529865634+0.5580557035807143j),(0.5405966425957184-0.23250387056373295j)
51,(-0.17507017204217262+0j),(-0.12621939459139705-0.1875310108169117j),(0.5907459738466889+0.7232590295838713j),(0.34404207552173555+0.1690947592787671j)
52,(0.2439314360687229+0j),(0.32257053877518405-0.4444127398458112j),(0.3753723650228059-0.6496222182523858j),(0.02960209865192226+0.1648544179378693j)
53,(-0.5714264815201106+0j),(-0.2180706352954547+0.09190671644444201j),(0.5185443076056933-0.49571297672429404j),(0.32628620185147983+0.01969605115658206j)
54,(-0.5714264815201106+0j),(-0.2180706352954547+0.09190671644444201j),(0.5185443076056933-0.49571297672429404j),(0.32628620185147983+0.01969605115658206j)
55,(0.09359284046296024+0j),(-0.3748540485503799-0.27175853326006577j),(0.7415177726623774-0.07160770004483141j),(0.24280282446427148-0.28780871717814893j)
56,(0.39101561369450144+0j),(-0.36739622867428334-0.3276839355149006j),(0.5986967481450147-0.15274171872523568j),(-0.17119838127261672-0.4027631164016936j)
57,(0.10203074813962215+0j),(0.11358513530932261-0.2567324558277934j),(0.8821980501653328-0.03374560758079398j),(-0.2247805568946602-0.513732784044096j)
58,(-0.6336263333246347+0j),(-0.08441180621317829+0.006760740978869681j),(0.6224751385715819-0.2581096574500622j),(0.06431445869201124-0.22218268822731677j)
59,(-0.6834851661459536+0j),(0.6725285612665587+0.12363643388146923j),(0.4581439646429051+0.5233621232769198j),(0.11122858215515663-0.1158713009981727j)
60,(0.30534137522562554+0j),(-0.2315888850986874+0.5383697306075625j),(0.17865832131601178+0.712977011213238j),(-0.3649142080856109-0.20365196590078638j)
61,(-0.6446781819554146+0j),(0.37756885525825307-0.2977411554915255j),(0.10159548864914378+0.3654900339172193j),(-0.42297990548256+0.28848111224833006j)
62,(-0.1638709936594635+0j),(0.17828315988755358-0.26539716208884556j),(-0.8362241664517598+0.1272551794247056j),(-0.36096131979735935+0.012147494251434923j)
63,(-0.18972768717197985+0j),(-0.2638188027014601-0.21774698677758025j),(-0.7195110409383373+0.43161181773205715j),(0.05101773883848648-0.016612335086568758j)
64,(0.12493980942646565+0j),(-0.18046491794500724-0.029776627681043513j),(-0.6927262164094524+0.27080981772395873j),(-0.061111957427736924-0.045068672899201995j)
65,(0.5232123128516387+0j),(-0.12190327692919972+0.12751640268898515j),(-1.0636560878514738+0.2172433287591375j),(0.1056452184224232+0.17773139614237068j)
66,(-0.09261466689449538+0j),(-0.031792549468136054+0.11212997971564777j),(-0.8612750280936422+0.5339151303513563j),(0.40867267834337584+0.01078916189780655j)
67,(0.25737307826214845+0j),(-0.1741659826184778+0.14640959774175588j),(-0.681158927676679+0.44254775476523606j),(0.33610874854989775-0.13475406110678007j)
68,(-0.394109462817933+0j),(0.12444662345039958-0.1473677267471021j),(-0.6579752259188197-0.4174240119874894j),(0.22624767007317736-0.2469075775109959j)
