,amplitude,c_0
0,(0.7255349474720857+0j),(0.7771271325114619-0.28146828397107015j)
1,(0.6707866006714196+0j),(0.7350619765874711+0.06499550152403039j)
2,(-0.20487659374252182+0j),(0.459350108653872-1.1251424328769755j)
3,(-0.3172732966277936+0j),(-0.9269536525842684+0.47207635662476083j)
4,(0.12576894019912507+0j),(-0.8732015315106253+0.20300931096506353j)
5,(-0.5745223411247304+0j),(1.110300373445691-0.27237038500916283j)
6,(0.20769057589035322+0j),(1.0356183872517324-0.3370225824885441j)
7,(-0.22180317376162828+0j),(-1.1605930994424405+0.1690352614585881j)
8,(0.13952676901093866+0j),(-0.8143336534076457-0.25661949205721635j)
9,(0.5386635752926204+0j),(0.40114940956411+0.9995964267526305j)
10,(-0.4249967940725512+0j),(-0.2412832576898118-0.744650800561095j)
11,(0.11402619296410738+0j),(-0.9740033085813342+0.4573287958955282j)
12,(-0.1456188692505312+0j),(-0.8931154174472721-0.49012484562181596j)
13,(-0.17100615490415969+0j),(-0.6166251939475877+0.8698716641749642j)
14,(-0.1996289870504911+0j),(-1.0597030918874413-0.29801518789155956j)
15,(0.34075105585251064+0j),(0.8816131084068186+0.22364990011944785j)
16,(0.20250007738637998+0j),(-1.133569993819789-0.22654935483008323j)
17,(-0.3229347612273295+0j),(0.5488237253434359-0.7765298415391937j)
18,(-0.7116854034776026+0j),(-0.8538532978385402-0.6843951982185232j)
19,(0.4719262342481941+0j),(0.06647293477681882+1.225305137088773j)
20,(0.7329098974340754+0j),(0.8542031194894958+0.24259697061541874j)
21,(0.8148699021530348+0j),(-0.4121913178471889-0.6349519751823736j)
22,(0.7689014483041617+0j),(1.0168557048530444-0.09100476940089715j)
23,(-0.7910737611660598+0j),(0.9088064211134489+0.015446322506250165j)
24,(0.3188515116476393+0j),(0.7562369589803879-0.18106485927496507j)
25,(0.011127232285286021+0j),(-0.8616751627316986+0.8046652524396646j)
26,(-0.36000506350453476+0j),(-0.9107894078701301+0.3712951595107219j)
27,(-0.2409341128378558+0j),(1.1565959607417455-0.33956563469924855j)
28,(0.7009242901472156+0j),(1.1651121173951298+0.21540043869719813j)
29,(-0.2861868169164915+0j),(0.7677295466101521+0.46860764823729817j)
30,(-0.5259294562359467+0j),(0.2813832412551046-0.9352822138632828j)
31,(-0.5789415249721189+0j),(0.8694516399246448-0.5394988927114219j)
32,(-0.7671430656218758+0j),(0.18106985898782332+0.9057401227438303j)
33,(-0.5328614005114755+0j),(-0.8974869200952936+0.5616956017685086j)
34,(-0.3706566552416557+0j),(0.7552528850998118-0.599074316278526j)
35,(-0.11962962849214065+0j),(0.5715004351857851-0.9735381004860993j)
36,(0.2305357914540682+0j),(0.8383504769218768+0.5615506374960615j)
37,(0.6359264280919483+0j),(0.282220802913438+0.9845557273599894j)
38,(-0.2803218524660269+0j),(0.7354906779245749-0.7609201109194481j)
39,(-0.036210905258293624+0j),(0.5214765989394502-0.9725884791093802j)
40,(0.8239620621907351+0j),(0.6151272605560588+0.8492994275475239j)
41,(-0.3506298401773976+0j),(-0.9093518926020384-0.5484902247554891j)
42,(0.23517186995847889+0j),(-0.758060837885312+0.5401554512995725j)
43,(-0.5634168759001577+0j),(0.1941968073958933+0.5834336349125716j)
44,(-0.2752008507240626+0j),(0.218052803282622-0.8084783744443629j)
45,(-0.27133205931097903+0j),(0.9673776702828293-0.31208565590684556j)
46,(-0.22198561764644217+0j),(-0.8137328736579296+0.6972133544996261j)
47,(0.4572815764785512+0j),(0.20525334069426385+1.0786562523998002j)
48,(-0.6571555055077174+0j),(0.061273404164488565-1.130783434754493j)
49,(-0.5170471697237499+0j),(0.361263561315739-0.9980040198951756j)
50,(0.5683260434694943+0j),(0.6888094466458652+0.6768719582236953j)
51,(-0.6253987396429782+0j),(0.650087383530931-0.9158066782961254j)
52,(0.735158801778959+0j),(0.7092511371645488-0.45889618406843263j)
53,(0.17578631758013685+0j),(-0.9064425340844372+0.1754451595135996j)
54,(0.4833924886904758+0j),(0.8362728451201219+0.4620856872335143j)
55,(0.031085576949513416+0j),(0.9962456351640037+0.017788656683040464j)
56,(0.3779962595188018+0j),(-0.13068929941709806+0.9174204162499477j)
57,(0.8654975760479314+0j),(-0.7288233978644268+0.5133786508184326j)
58,(0.5600696061610297+0j),(-0.8153250403621273-0.5652721152628908j)
59,(-0.24223187673722812+0j),(0.8149680779046737+0.1102388568204967j)
60,(-0.7707207045817327+0j),(0.5947089925356991-0.7569150657000091j)
61,(-0.51072200578239+0j),(-0.2615183093097772-1.113779850345083j)
62,(-0.5166572444498085+0j),(0.9816431158512751-0.21189236507660458j)
63,(0.1522001071637061+0j),(0.773485985946303+0.13593613365530033j)
64,(-0.1996001855489845+0j),(0.9804484647869426-0.3445169217727323j)
65,(-0.6505577866919791+0j),(-0.706379635954708-0.9693298069186508j)
66,(0.4077042455500581+0j),(0.9590498431776684-0.4430224416104617j)
67,(-0.22821846309618593+0j),(-0.10964929814803284-0.807003487200439j)
68,(0.3327027287234771+0j),(0.3666630378933686+0.7536764192875962j)
69,(0.34844709977030425+0j),(0.9459655816856368+0.594972974976562j)
70,(0.5473819174775438+0j),(0.5656426798102661+0.9604762033226809j)
71,(-0.5578462037150541+0j),(-0.7112991628383732+0.4396578562746552j)
72,(0.693986103787976+0j),(-0.8688245600068746-0.3552337296433714j)
73,(0.6205178878312293+0j),(0.7491224819648591+0.42464972941378004j)
74,(-0.41803272249856016+0j),(-0.7790712185262452+0.559772861499302j)
75,(-0.3673584976487525+0j),(0.441177192290905-0.47806778605063766j)
76,(-0.46813724891379827+0j),(0.5064568806345874-0.7364381764203904j)
77,(-0.6772860522323843+0j),(-0.6882923968217829-0.47621883192290904j)
78,(0.79139191720432+0j),(0.798608421556613+0.47275735254062845j)
79,(0.4798728122499907+0j),(-0.7437735685909725-0.8058059617137803j)
80,(-0.5282768986624693+0j),(-0.3057884931341118-0.9676309759492451j)
81,(0.19897028819265072+0j),(0.9884522075188941+0.3640230064671519j)
82,(0.32774411657435903+0j),(-0.2996664488208307-0.7836721436076327j)
83,(-0.6286642924279352+0j),(-0.06061790564017644+0.8995243660600604j)
84,(-0.03675651512614145+0j),(0.19772738890667407-1.146527216156403j)
85,(-0.7042943007675823+0j),(-0.8148115484714329-0.4859953500264508j)
86,(0.38849134359949394+0j),(0.6562840440335269+0.4154145651317869j)
87,(-0.584949573633897+0j),(0.7586062913530218-0.5354301054175085j)
88,(0.11384273632756903+0j),(-0.6301680548130203-0.8569986228725076j)
89,(0.09385487871474141+0j),(0.7178561477822659-0.6266159923383348j)
90,(-0.5048394065440361+0j),(-0.1210798505349181-0.9844604056510947j)
91,(-0.21146764236910892+0j),(0.6132832687423715-0.7867026689487887j)
92,(-0.2557942146088481+0j),(-0.33132082733187335+0.6076880252485376j)
93,(-0.42915913251334936+0j),(0.40731212028784286+0.20808675609637195j)
94,(0.5543359989542125+0j),(-0.999580228686613+0.4073388110736065j)
95,(0.13133802593407978+0j),(-1.0452105121342505+0.38465312540863755j)
96,(-0.7604843044973382+0j),(-0.9993015332304508+0.11645863265975327j)
97,(-0.6645662448663218+0j),(-0.901286905300831+0.9601481327518241j)
98,(0.11228428085286246+0j),(-1.023459258654344+0.25877954015079085j)
99,(-0.5079736512018473+0j),(0.7116597372929584+0.21544297013471764j)
100,(0.6667389416059034+0j),(-0.5002617132440106-0.7667114832805779j)
101,(-0.19349233559105608+0j),(-0.30518412824919816+0.8957151946390041j)
102,(0.6846588953229005+0j),(-1.0856123724479274+0.27060286267156314j)
103,(-0.12038774548217968+0j),(0.09348505234854121-1.0675266270787511j)
104,(0.7828766225321107+0j),(-0.20232209791202935+1.088982580757495j)
105,(-0.07914930283228272+0j),(0.04260014200635798+0.7751345573071909j)
106,(-0.5101356591495276+0j),(0.7212374489085139-0.7413540941723333j)
107,(0.14791030200465993+0j),(0.5728684136910164+0.9890613179246837j)
108,(0.6602861566541043+0j),(0.2258876568026576+1.079278872823913j)
109,(0.6083945309779842+0j),(0.6569552464373245+0.07028221898637142j)
110,(0.21715098624457474+0j),(-0.6031689741485672+0.8973731930373631j)
111,(-0.07131516918896375+0j),(0.5948420060043347-0.8936770880004047j)
112,(0.7331891771405409+0j),(0.7381545067148492-0.6345925816502833j)
113,(-0.22530168396699052+0j),(-1.124702678855253+0.4479450847729934j)
114,(0.5297608856135191+0j),(-1.0536900287989712-0.16435591270850486j)
115,(-0.19659630532753353+0j),(-0.7838793270484243-0.5952670840495926j)
116,(-0.46995731466159496+0j),(-0.6699341300025078-0.2298704065729359j)
117,(0.3042735403952541+0j),(0.363634811860624-0.7945260169253675j)
118,(-0.4940145943680513+0j),(0.4944893698473194+0.934159704505131j)
119,(-0.25758258409310075+0j),(-0.9491863111738897-0.4225102082418576j)
120,(-0.5059479935603297+0j),(-0.18307563368774438-0.9716330817128508j)
121,(-0.1863243306040423+0j),(-0.1468768968435349+0.7379012283297812j)
122,(0.3830359155503377+0j),(-0.5003710690170617-1.0574869880883067j)
123,(0.13407396016991102+0j),(-0.44244986069437-1.0470757401304545j)
124,(-0.5069641856915517+0j),(0.3633745595030391+0.854919321292412j)
125,(-0.205489762032178+0j),(0.7046221553913721-0.6344764039576073j)
126,(0.7257095657440996+0j),(-0.04325748886718182+1.196130810043718j)
127,(-0.1046869229716323+0j),(0.7093221391680136-0.5402533207505567j)
128,(0.30651622546403123+0j),(-0.31557893308139123+1.0602394525102645j)
129,(0.8685099951836384+0j),(0.729480130108543-0.526662140427079j)
130,(0.0681592763052199+0j),(0.9288055393224323+0.15837198573435618j)
131,(0.43037403340013075+0j),(-0.8184216349180065-0.08038971887500446j)
132,(0.7252538550299394+0j),(0.9987464265045358+0.3624548985932324j)
133,(0.23869482186264587+0j),(-0.30720882209411526-0.8006213470632717j)
134,(0.016029353688027673+0j),(0.2346498456964825-0.9222130382464638j)
135,(-0.33306078718777377+0j),(-0.3994854983984633+0.8468306355776942j)
136,(-0.6076591729741381+0j),(-0.5889685674946737-0.6135896233386189j)
137,(-0.1870943086000991+0j),(-0.37040161813858197+0.9926844951740404j)
138,(0.10470805616875992+0j),(0.7505193027366358-0.19882521920373092j)
139,(-0.4298827422540745+0j),(0.44412911775142605-0.8919783425084957j)
140,(0.6889715138177837+0j),(-0.1445062814807296+0.8382647510426343j)
141,(-0.1894444775029715+0j),(-0.1951501451183774+0.8871521106678583j)
142,(-0.4536206419901071+0j),(0.2697854291258053+1.2044975095681658j)
143,(-0.23177137607911147+0j),(-0.6715173612653629-0.8441186166276264j)
144,(-0.8737969229409313+0j),(0.47653369206877016+0.693888016727327j)
145,(-0.2960080291203313+0j),(-0.1439077006635331+0.701966225048599j)
146,(-0.6966240182193506+0j),(0.5172656274520707+0.6796951713911338j)
147,(0.4493713828758309+0j),(-1.1174541501539375+0.08898283790627134j)
148,(-0.4133559836872732+0j),(-0.3375724657771857+0.9743722458295995j)
149,(-0.2474447543986451+0j),(0.22684756993320748-0.7946285628187507j)
150,(-0.6727362948087963+0j),(0.7037077536530829-0.3699207645041249j)
151,(-0.5433846380858239+0j),(0.8795062031583348+0.07752838440638757j)
152,(0.1916529148578563+0j),(0.6156768695780045-0.7313812104932921j)
153,(0.42522964918870315+0j),(0.6977763381326423+0.3916359360828857j)
154,(-0.2762945175417655+0j),(0.4508539185813417+0.840057943829599j)
155,(0.07752126136319293+0j),(0.4227282035272786-0.8475169058126157j)
156,(0.2001989361482585+0j),(0.4337904391746485+1.0194699989963916j)
157,(-0.314597793077641+0j),(-0.1953799289224602-1.1154343536636016j)
158,(0.102639964210953+0j),(-0.9580085079900321+0.27014759969810076j)
159,(-0.5404357877276131+0j),(1.0763630480187936-0.21790497538101755j)
160,(-0.36495910492706485+0j),(0.5342269894302354-0.892243204198753j)
161,(-0.5085874079587406+0j),(-0.9372836485302952-0.44655946572250116j)
162,(-0.4989856498638671+0j),(0.3065489477127925-0.8032276052422871j)
163,(0.015668091041257496+0j),(0.8165980887511537-0.733366110287327j)
164,(-0.5775023079919256+0j),(-0.8993075792715434-0.16880903540833614j)
165,(-0.11279371076365918+0j),(0.835471473548385-0.5178168802511783j)
166,(0.5487845173902431+0j),(0.22765505597170388-0.7816670289583528j)
167,(0.5790031586959024+0j),(0.6183622535447377-0.935391678017436j)
168,(0.28808933030457895+0j),(-0.5618693387984128-0.8936767840994033j)
169,(-0.17581914700247697+0j),(-0.5231422101829086+1.0099620886410487j)
170,(-0.13200867450354115+0j),(-0.9400791020469568+0.17149317679916276j)
171,(0.34304105961074305+0j),(-0.012246719255219918+1.008590278399523j)
172,(0.016542435703621447+0j),(0.6471944558777528-0.6283425894217092j)
173,(-0.6940830877512387+0j),(0.5897418346174336-0.8347149550567008j)
174,(-0.2342125088900427+0j),(0.759779782583278-0.1506419526788707j)
175,(-0.40028164799061067+0j),(0.49219938241891015-0.7623043144779476j)
176,(0.16876325613338916+0j),(-0.490670938665915-0.8717535816097141j)
177,(0.5123189870858449+0j),(0.9753492186671298-0.5976922851926724j)
178,(0.5886891581566589+0j),(-0.7838762658275167+0.25892066659759416j)
179,(0.07279462601825543+0j),(-0.8654536002759942+0.09706415967623921j)
180,(0.676552930504076+0j),(0.2588096851154052-0.7950359931792914j)
181,(0.41884064244611013+0j),(1.0165096887531277+0.5377979735583778j)
182,(0.2748095210627035+0j),(-0.8909526118815265-0.13485729458351026j)
183,(-0.6774344451422036+0j),(0.29414934267233755+0.9109069214640129j)
184,(0.46715882468715325+0j),(-0.6231566369953212+0.7924917788981979j)
185,(0.15564003567001083+0j),(0.4062739895595579+0.8692209141849266j)
186,(0.013485383900961767+0j),(-1.0411498816644216-0.6430077284764534j)
187,(0.7442004807875149+0j),(0.9343864298369732-0.6157890468812319j)
188,(-0.0346391806288136+0j),(1.0282411559610676-0.08631481830158483j)
189,(-0.2505152708043239+0j),(-1.1136249325548992+0.3456077092238268j)
190,(0.3566315911061375+0j),(0.8764776492465932-0.2090159365333899j)
191,(0.14118229593517861+0j),(-0.7398295905948798-0.21176953185000402j)
192,(-0.40745946540959793+0j),(-0.6482108270081189-0.28551556082459756j)
193,(0.11027001998782261+0j),(0.8690062691990871+0.2691960311641654j)
