,amplitude,c_-1,c_0,c_1
0,(-0.41701869289226673+0j),(-0.2717365327876552-0.0603905731588235j),(0.026058439596604727-0.8589287902998612j),(-0.3510296492918474-0.012638133846378592j)
1,(-0.6539294553369357+0j),(0.21432203577271025-0.4535764437184572j),(0.5277252209836859-0.17521988707852224j),(-0.24720510524935851-0.3633809779556042j)
2,(0.5685534934634591+0j),(-0.011523454940225636-0.41999259248210147j),(0.2815459653737871+0.5738889849892587j),(-0.17338328770087957+0.23300029433004973j)
3,(-0.4936171004687239+0j),(-0.0395963131293472+0.6811196844449182j),(-0.3264021572562804+0.052839993312223665j),(0.10293475131843527-0.11408656950348364j)
4,(-0.2208009983525609+0j),(0.16707801684296106-0.06046769755829033j),(0.8765458664860214+0.44208540593616324j),(-0.14659744163511462+0.10568859865185436j)
5,(-0.24128405841846468+0j),(0.4672200054640003+0.11964632342327805j),(-0.6762683254454146+0.14414859199411617j),(0.17312424383496738-0.10122729768983296j)
6,(-0.27166324335660064+0j),(-0.1021492149905342+0.1535525615242902j),(0.5360077139709567+0.6534732877916241j),(-0.0030742790975704926-0.06621813755453759j)
7,(0.13081137419624045+0j),(-0.618968007904985-0.19573025446925665j),(-0.26462685325072566+0.23651681825385723j),(0.14180487058035024-0.1435994561466064j)
8,(0.4238469640070729+0j),(-0.4367603701388854+0.12176787684859747j),(-0.5610054247009155-0.2852310503702383j),(0.3349252591084504+0.3985623871188785j)
9,(-0.28165370888401986+0j),(-0.2736595565345067-0.41546382974592444j),(-0.05907599509574116-0.9572363479157808j),(-0.2871749754950328+0.15080958487165147j)
10,(-0.36699822230157475+0j),(-0.0057854051103381765+0.26249095631674535j),(0.6135093360171493-0.2774552226965342j),(-0.02313428903802922+0.052162941404888676j)
11,(-0.4723466318289338+0j),(-0.08983486417675735+0.17823126266186076j),(-0.24965039045882578-0.9223997835120759j),(-0.1025160883116129+0.21974534521603328j)
12,(0.5038050331958637+0j),(-0.05973621706808792+0.21222546255143862j),(0.08570085198762875-0.848327731739853j),(0.14059728595947507-0.12965922358643078j)
13,(-0.02509710564338935+0j),(-0.11631545791928402+0.07137062942559384j),(-0.37329819768654393+0.04866339413612081j),(-0.086935644794911+0.822455251569872j)
14,(0.11957627612729425+0j),(0.13209951728710692-0.06587559985644739j),(0.3183262260958512-0.8717960889351024j),(-0.050089720881391166+0.001002151104172011j)
15,(0.45464039928291766+0j),(0.30644862672936113-0.1377874551206294j),(0.8757770785373247+0.013144679927866748j),(-0.42220753310226766+0.16037876291933184j)
16,(-0.5361687116220396+0j),(-0.2577995741646871+0.1993070006539572j),(0.14911108508364151+0.5026390847441345j),(-0.21068105179338278-0.1687100636128419j)
17,(-0.09125012941049337+0j),(-0.49437524032374647+0.23856488281661475j),(0.8003406288160937-0.05324048652820018j),(0.34654162527358345+0.10541494386464331j)
18,(-0.8228740841506602+0j),(0.1797076572506422+0.48444647397039736j),(-0.11749609872738769-0.03832694341675347j),(0.46651876765710176-0.1035929104859396j)
19,(-0.022436464061903416+0j),(0.008427357085291132+0.05196091001320166j),(0.25949693752862435+0.2153437520442287j),(0.026579440246985164+0.8219495647451014j)
20,(0.41922161488729137+0j),(0.1109491836014957+0.06408146806688572j),(-0.49858764237584735-0.1276778523507469j),(-0.36424551770631214+0.2755117718246518j)
21,(-0.31359972642770256+0j),(-0.056628111249257235-0.047614924181436896j),(0.21021254919060245+0.238214833875612j),(0.0721410657106435+0.6676799813153919j)
22,(-0.35541877343131745+0j),(0.0033686903831367035+0.27440583713507494j),(-0.6320692846475195+0.101515911739461j),(0.008340057054415671+0.09159543210971499j)
23,(0.2820963232127691+0j),(0.34598473928031-0.10807830797872486j),(0.6537993981716362+0.7066321664168232j),(-0.040790232996102266-0.1767836426588071j)
24,(0.4045793045252829+0j),(-0.16081780727940748+0.7214335854568161j),(0.043771495118399256-0.13604521427896776j),(-0.37216839081079134-0.1853747025651268j)
25,(-0.5776893807726442+0j),(0.24916491296200088+0.4492378531199465j),(-0.5265956611360428+0.12580635869689547j),(-0.21210304078778247-0.19257237542864863j)
26,(0.08956490171760978+0j),(0.07164851017408655+0.057008625513774405j),(-0.4067020616076478-0.2145043478826717j),(0.18751866819006308-0.726136402887273j)
27,(-0.7925243927330415+0j),(-0.3575658767083537-0.11750321572964649j),(-0.8536431155071464-0.3174605508587771j),(0.547186199297264+0.3178275974690338j)
28,(-0.2277325749378491+0j),(-0.3498363019381285-0.026132083863163888j),(-0.7907503586190129-0.7361898115872391j),(0.013971379791144933+0.6560367577559595j)
29,(-0.6839867548047842+0j),(0.11102196651608762-0.5076173919059788j),(0.10878563480851808-0.2546839221148086j),(-0.36734089221288696-0.3114725123612993j)
30,(0.5198797266912807+0j),(-0.02079806865097905+0.20263064214195362j),(-0.5847586471149505+0.5816135285216775j),(-0.3934545043596261+0.16496206243005396j)
31,(0.03927983900328885+0j),(-0.08864269451106882-0.6980210755813125j),(-0.4437276382886913+0.21837234756377197j),(-0.3994695959088369-0.12399443390434342j)
32,(0.4295722409099586+0j),(-0.17581833314200923-0.006882592649729166j),(0.48404026790591936-0.5013553633206612j),(0.16060323200367596-0.6119350443205195j)
33,(-0.381893923026259+0j),(-0.5268016505624502-0.28996976696985954j),(-0.4286869868756076-0.38203972113772056j),(0.32013463354169813+0.6154181887382955j)
34,(0.764500939057928+0j),(-0.28626007091508915-0.29485620085650366j),(-0.8497122942492248-0.29666608772110953j),(0.24336102046416344-0.0200688120390664j)
35,(-0.24842152792801087+0j),(-0.22322037516106794-0.23886178784189513j),(0.36723279521061314+0.16086029805967905j),(-0.37123813676423933+0.5464784706619128j)
36,(-0.5211738247210361+0j),(-0.21508645862179931-0.09841974527765482j),(0.745513622594118+0.3516214990531156j),(0.132663791084859+0.3109391471308178j)
37,(-0.24519523206162774+0j),(-0.2946612672661356+0.17500222974849558j),(-0.18677683429188421+1.157707484445798j),(-0.2800927638701022-0.22516401860942944j)
38,(-0.16850579022677498+0j),(-0.37522453896966845-0.12212450838759539j),(0.8727288042592338+0.2811867443150861j),(0.2193838683766307+0.23408425314163425j)
