,abs_amplitude,amplitude_squared,abs_c_-6,abs_c_-5,abs_c_-4,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3,abs_c_4,abs_c_5,abs_c_6
223,0.035918182070967544,0.0012901158032831745,0.10337526331338985,0.06570930683745654,0.26836519459774355,0.08491334528209733,0.19520865634592308,0.4318090370820294,0.48962253958100244,0.3485417430243033,0.20685935726571544,0.18098223839491487,0.16523399208020775,0.20443093234235582,0.12357907703134596
224,0.035918182070967544,0.0012901158032831745,0.036410372353494445,0.08911420885885368,0.1749969560256949,0.1414616628650641,0.16089192972506025,0.4586219961694816,0.48312307375677,0.49975707142448506,0.2052280913720124,0.1760515547153246,0.1469648192610993,0.17904554549907784,0.16187152940283142
225,0.035918182070967544,0.0012901158032831745,0.036410372353494445,0.08911420885885368,0.1749969560256949,0.1414616628650641,0.16089192972506025,0.4586219961694816,0.48312307375677,0.49975707142448506,0.2052280913720124,0.1760515547153246,0.1469648192610993,0.17904554549907784,0.16187152940283142
226,0.035918182070967544,0.0012901158032831745,0.05825657584522358,0.015389782742432323,0.12611172160353049,0.3060700431091896,0.1298149599251908,0.5142267634124412,0.35940533223118404,0.4534477785923067,0.2436131776892834,0.219007755612518,0.1611358728188152,0.1392557612537702,0.14927653223537082
227,0.18292898044276307,0.03346301188582879,0.09851549722380848,0.12044480200554239,0.12687045999010518,0.17301009214727198,0.25529982836113374,0.3642382816190536,0.4835457832295878,0.3532474227332869,0.049610249972469524,0.3082368891183509,0.12492972388110583,0.14956142313262927,0.03677744467693872
228,0.2736914821882817,0.07490702742241852,0.02754300272008469,0.03840453998146189,0.02883509944297196,0.06354431712743366,0.34697496761504465,0.21551598360673094,0.3309490646540035,0.42750123225916853,0.07395446659514053,0.36013470123381536,0.22924370009452605,0.214031671364775,0.0481906978489356
229,0.2736914821882817,0.07490702742241852,0.03435221568339168,0.017560943498298755,0.02563604419027395,0.09324213625296293,0.296829614531164,0.252506582546394,0.3394391715738471,0.423228513947777,0.06712652257575984,0.35924972920280107,0.17440186017018264,0.19672158413523075,0.05509618841905172
230,0.7914642388511508,0.6264156413802315,0.010589236742744411,0.09629486565268933,0.14479340102103705,0.10364800318372083,0.2712175345310054,0.278871987974005,0.4191864625523025,0.40326438361524697,0.05720756679353958,0.2976208882818718,0.2160524854054836,0.22292443705409165,0.062234722202852394
231,0.7914642388511508,0.6264156413802315,0.04254078876039707,0.08167085499286764,0.05160552689849812,0.11620014609588367,0.30037855211862774,0.4183745192399169,0.3771942686898505,0.5255693996626748,0.10874964862338177,0.2974256678113259,0.30103600592383617,0.2555464611529687,0.10678447260773999
232,0.7914642388511508,0.6264156413802315,0.024517277822369468,0.12308510781234906,0.048482445873964795,0.1831766285590215,0.2187406236076087,0.41819839313208623,0.3259358221228295,0.4570708148105622,0.20720857253727631,0.28716393237629345,0.2482738678190306,0.2414805904636293,0.10543260419285204
233,0.7156038726211289,0.5120889025103569,0.056281007046513495,0.08090391285868301,0.21063712877932486,0.11920250234725044,0.19682852660523795,0.42606203191439035,0.3955478666066312,0.4430496008350055,0.35086849196839526,0.33564812679825123,0.1651572562505448,0.1948073422879775,0.07420480935494347
234,0.6247206797865787,0.39027592775300507,0.052991916553946715,0.055155212562823595,0.10779807148052106,0.2215939687934425,0.1456586037379899,0.386051402252733,0.3237043640280454,0.28461881395790856,0.2885030427797959,0.2806138930035039,0.10616502159988067,0.2494997926707578,0.051190031107641906
