,0.0,0.15,0.3,0.44999999999999996
0.005,0.06639832155234791,0.1504892042907214,0.032093897287592696,0.010955257846524019
0.155,0.11018282167645102,0.06833177753848847,0.048782998981167905,0.019780231990508032
0.305,0.1286971291882837,0.05650550420240702,0.03598216936542042,0.03294519045142068
0.45499999999999996,0.06166904219257855,0.048171908867103576,0.0391421445044931,0.03655914852319225
0.605,0.051609937911993885,0.054319017531204286,0.04300042851002793,0.042244271871414586
0.755,0.05137355646344292,0.06157187060803113,0.049116206314492435,0.03803879030266372
0.9049999999999999,0.04813288764253429,0.05469345263132001,0.04371691478084642,0.04110405543213746
1.055,0.050246135966630565,0.05203108852399071,0.04978324899621239,0.03969716940581819
1.2049999999999998,0.049492604442090776,0.05199689837314574,0.0463919867355554,0.040830289681060804
1.3549999999999998,0.04709303458196882,0.05293705156522572,0.04203324766482891,0.03722439905459144
