,0.0,0.3
0.05,(0.00035604142003572466+0j),(0.005103703241643901+0j)
0.65,(0.0057165459183020064+0j),(0.005596657790037457+0j)
1.25,(0.013894683109495237+0j),(0.01915453012092481+0j)
