,0.0,0.3
0.05,(0.16368281782284036+0j),(0.08168622551924053+0j)
0.65,(0.15808877525093035+0j),(0.16609710924011856+0j)
1.25,(0.2180260842610655+0j),(0.2078920135105439+0j)
