,0.0,0.3
0.05,(-0.0002658797502853382-2.236237149769278e-05j),(0.0018978277995666483-0.0016472471848304891j)
0.65,(0.0002780214451372573-2.9078585268725548e-05j),(-0.0017004744235131063-0.00036963883264433183j)
1.25,(-0.0007345052413918973-0.00037288283059166413j),(0.00010147508415363626-0.00025912525981426165j)
