,0.0,0.3
0.05,(0.019707715418985746-0.03210978422656042j),(-0.0007193326069112366-0.049727537365254836j)
0.65,(0.00718197493614172-0.015063833661035449j),(-0.002688794501016201-0.0008367698017005621j)
1.25,(-0.006854808560856104-0.004311259686021232j),(0.005872502001121549+0.009564290596928267j)
