,0.0,0.3
0.05,(0.13765098086373218+0j),(0.4299478980128339+0j)
0.65,(0.9189432455002777+0j),(0.9319145541083844+0j)
1.25,(0.8699225498024297+0j),(0.9347877114858609+0j)
