,0.0,0.3
0.05,(0.856930250339602+0j),(0.11232167481947758+0j)
0.65,(0.10350252645417847+0j),(0.10239988038176588+0j)
1.25,(0.09421180846031753+0j),(0.0868957752513888+0j)
