,0.0,0.3
0.05,(0.05905991194504281+0j),(0.0734517311718459+0j)
0.65,(0.054542955885410235+0j),(0.05964358434130568+0j)
1.25,(0.07523526549691045+0j),(0.06564094528133158+0j)
