,0.0,0.3
0.05,(2.5991873517640296e-06-6.526317404530608e-05j),(0.00012584666087080685+2.90911923478976e-05j)
0.65,(0.0005950479371367067-0.00015036071785379492j),(0.00025507718470145263-0.0007500313570647565j)
1.25,(-0.001144576914978987+0.00026143751594985104j),(0.0014099593352639725-0.0004752977442179492j)
