,0.0,0.3
0.05,(0.03674363487517624+0j),(0.07279276705818113+0j)
0.65,(0.014231893456702907+0j),(0.014717328560759756+0j)
1.25,(0.013509056410466994+0j),(0.010034402278141175+0j)
