,0.0,0.3
0.05,(-0.03938525429076605-0.03439755003890362j),(0.06183213402243305-0.01690656953259179j)
0.65,(-0.0017297246895377337-0.013542262346521339j),(0.0024154321871973335-0.009160677840939399j)
1.25,(-0.01029343885308463+0.004601673516899989j),(0.0034078558485898377+0.0002132659076637512j)
