,0.0,0.3
0.05,(0.0427722123244484+0j),(0.054993100249187014+0j)
0.65,(0.06660159482342133+0j),(0.07186056329233763+0j)
1.25,(0.07114450280794307+0j),(0.07404187746829219+0j)
