,0.0,0.3
0.05,(-0.08109994900656009+0.16582984434658266j),(0.20250883174647813-0.06581503265590988j)
0.65,(0.042089204195600284-0.023414282825712746j),(-0.01747326847582083-0.0016253481091036042j)
1.25,(-0.008565227471044323-0.008245512996127623j),(0.00997094986376742-0.015481054729557946j)
