,0.0,0.3
0.05,(0.16411329244020584+0j),(0.07965999283014939+0j)
0.65,(0.15873158589621894+0j),(0.16799255925619633+0j)
1.25,(0.2172407300377014+0j),(0.2085720173550166+0j)
