,0.0,0.3
0.05,(0.16362862767204486+0j),(0.07898901105150206+0j)
0.65,(0.1578073361086637+0j),(0.1662688850531582+0j)
1.25,(0.21784472842645322+0j),(0.20861688647316723+0j)
