,0.0,0.3
0.05,(0.009976022187320946+0j),(0.0027600910132863743+0j)
0.65,(0.005403506877395748+0j),(0.005584844503591284+0j)
1.25,(0.006543920509307563+0j),(0.006546147592019076+0j)
