,0.0,0.3
0.05,(0.03158010209625175+0.01493715846269723j),(0.0005895006582913443+0.007184887863415606j)
0.65,(0.00851537465831673+0.006374700829822123j),(0.01008688997055382-0.0018936481796894098j)
1.25,(-0.003253328322726737+0.004795111946337588j),(0.00046568716165382585+0.00493880683152825j)
