,0.0,0.3
0.05,(0.8452201490249138+0j),(0.10007261469210484+0j)
0.65,(0.18858596721669577+0j),(0.1110292797882761+0j)
1.25,(0.09344348947023425+0j),(0.06922291858680406+0j)
