,0.0,0.3
0.05,(0.002499136842321423+0j),(0.013566865917533583+0j)
0.65,(0.004739752778430929+0j),(0.006671601591448813+0j)
1.25,(0.012841336003546653+0j),(0.012551057632764765+0j)
