,0.0,0.3
0.05,(0.1635143883833482+0j),(0.08072290980953357+0j)
0.65,(0.15987083783445863+0j),(0.16789079096232795+0j)
1.25,(0.22257477255808628+0j),(0.21892364767074152+0j)
