,0.0,0.3
0.05,(-0.8300877499797956-0.21251034682291028j),(0.0010171183707472387-0.0899510554468514j)
0.65,(0.03479746005215983-0.0131537602154032j),(-0.0063396212378668375-0.004551325816677447j)
1.25,(0.012108027737810166+0.0037694246680738575j),(0.00873774571793186+0.0077930068473193925j)
