,0.0,0.3
0.05,(0.09723524985070228+0j),(0.04701324327016355+0j)
0.65,(0.06559063257657435+0j),(0.06629147957922085+0j)
1.25,(0.07078637911009929+0j),(0.07158929315585098+0j)
