,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,abs_param_8,abs_param_9,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,param_8_squared,param_9_squared,field_energy,surface_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,complex_group_sampling_width
0,(8.306672086303682e-06+0j),(0.06969302272597781+0j),(0.16255040738141827+0j),(0.02078341499455627+0j),(0.013421991561525763+0j),(0.11466363277272695+0j),(0.06109151290203876+0j),(0.12169262632631841+0j),(0.05427013030781577+0j),(0.08365046426958125+0j),(6.900080114937676e-11+0j),(0.004857117416683659+0j),(0.026422634939865033+0j),(0.00043195033883594645+0j),(0.00018014985747766878+0j),(0.013147748680638782+0j),(0.003732172948659968+0j),(0.014809095302196967+0j),(0.002945247043627304+0j),(0.006997400172516489+0j),-1.3277769696311292,163.36281798645626,8.306672086303682e-06,6.206845070542489e-06,(-0.06955045985379181+0.004455440585368995j),(-0.03488695123867186+0.15876251312301518j),(0.004109530577716509+0.02037307284792256j),(0.009805201172037209+0.009165581675679341j),(0.08436944877741288+0.07765014355192325j),(0.061088433930290766-0.0006133421593758851j),(0.11306176746751266-0.045012576457242055j),(-0.02872292099833253-0.04604607315451397j),(0.00012044717694554374-0.08365037755440231j),5.711187944376472e-06
1,(1.1601521041387381e-05+0j),(0.06969302272959937+0j),(0.16255040739586374+0j),(0.020783414990393614+0j),(0.013421991571845157+0j),(0.11466363276481603+0j),(0.06109151291552171+0j),(0.12169262633116786+0j),(0.054270130342915425+0j),(0.08365046424849991+0j),(1.3459529047375414e-10+0j),(0.004857117417188455+0j),(0.026422634944561273+0j),(0.000431950338662918+0j),(0.00018014985775468244+0j),(0.013147748678824591+0j),(0.003732172950307356+0j),(0.014809095303377248+0j),(0.00294524704743703+0j),(0.006997400168989563+0j),-1.3277731030327127,163.36281798625382,-1.1601521041387381e-05,6.766321076530192e-06,(-0.06955045985888847+0.0044554405624583j),(-0.034886951203686546+0.15876251314549308j),(0.0041095305608222004+0.020373072847083878j),(0.009805201172112964+0.009165581690709924j),(0.08436944875674698+0.07765014356269559j),(0.061088433943712266-0.0006133421655642226j),(0.11306176747138474-0.045012576460626806j),(-0.02872292104519175-0.04604607316665245j),(0.00012044717746006518-0.08365037753332022j),6.225986136412799e-06
2,(2.3230904556740447e-06+0j),(0.06969302271726187+0j),(0.16255040741213037+0j),(0.020783414988539053+0j),(0.013421991569149585+0j),(0.11466363276916214+0j),(0.06109151294107054+0j),(0.12169262629178938+0j),(0.05427013035247569+0j),(0.08365046424052343+0j),(5.3967492652438405e-12+0j),(0.004857117415468779+0j),(0.026422634949849564+0j),(0.0004319503385858298+0j),(0.00018014985768232257+0j),(0.013147748679821275+0j),(0.0037321729534289896+0j),(0.01480909529379311+0j),(0.002945247048474703+0j),(0.006997400167655089+0j),-1.3277749062866977,163.36281798665257,-2.3230904556740447e-06,7.3762274376690985e-06,(-0.06955045984668164+0.004455440560023758j),(-0.03488695121946014+0.15876251315868167j),(0.004109530558224382+0.02037307284571598j),(0.009805201162944466+0.009165581696570875j),(0.08436944876679975+0.07765014355819072j),(0.0610884339693214-0.0006133421596865519j),(0.11306176743085886-0.04501257645595832j),(-0.02872292104285353-0.04604607317937877j),(0.00012044716497036668-0.08365037752536171j),6.7871874902965345e-06
3,(2.5412920791504865e-05+0j),(0.06969302272474057+0j),(0.1625504074433807+0j),(0.020783414963709536+0j),(0.013421991571505337+0j),(0.1146636327846564+0j),(0.06109151293486877+0j),(0.1216926263187656+0j),(0.054270130364791044+0j),(0.08365046426050263+0j),(6.458165431553002e-10+0j),(0.004857117416511205+0j),(0.026422634960009073+0j),(0.00043195033755374544+0j),(0.00018014985774556031+0j),(0.013147748683374528+0j),(0.003732172952671239+0j),(0.014809095300358722+0j),(0.002945247049811415+0j),(0.006997400170997627+0j),-1.327770417683877,163.36281798467593,-2.5412920791504865e-05,8.041109872977461e-06,(-0.06955045985469428+0.004455440551927947j),(-0.03488695121076074+0.15876251319258924j),(0.004109530562582267+0.020373072819507315j),(0.009805201165755315+0.009165581697013613j),(0.08436944876851406+0.07765014357920795j),(0.06108843396326172-0.0006133421455036878j),(0.1130617674493155-0.04501257648253013j),(-0.028722921052243163-0.046046073188036586j),(0.00012044717340675878-0.08365037754532878j),7.398974719686638e-06
4,(2.666431449158073e-05+0j),(0.06969302269714972+0j),(0.1625504074523549+0j),(0.02078341495480917+0j),(0.01342199157912573+0j),(0.11466363271798902+0j),(0.061091512960765496+0j),(0.12169262629511927+0j),(0.054270130351697025+0j),(0.08365046429855025+0j),(7.109856673059222e-10+0j),(0.004857117412665426+0j),(0.0264226349629266+0j),(0.00043195033718378546+0j),(0.00018014985795012202+0j),(0.013147748668085879+0j),(0.0037321729558353785+0j),(0.014809095294603556+0j),(0.002945247048390187+0j),(0.006997400177363029+0j),-1.3277701729712246,163.36281798447476,-2.666431449158073e-05,8.765923845988145e-06,(-0.06955045982827734+0.004455440532720202j),(-0.03488695120655194+0.15876251320270243j),(0.004109530559632688+0.020373072811022654j),(0.009805201190362123+0.00916558168184885j),(0.08436944872715556+0.07765014352569961j),(0.06108843398934504-0.0006133421270481617j),(0.11306176743305192-0.04501257645945226j),(-0.02872292101290785-0.04604607319714075j),(0.00012044719422038357-0.08365037758334647j),8.065907561980452e-06
5,(3.022999056476596e-05+0j),(0.06969302270227404+0j),(0.16255040746793528+0j),(0.020783414945490828+0j),(0.013421991574414517+0j),(0.11466363272045889+0j),(0.061091512942482565+0j),(0.12169262632515589+0j),(0.054270130379488996+0j),(0.08365046429268501+0j),(9.138523295458389e-10+0j),(0.004857117413379685+0j),(0.026422634967991788+0j),(0.00043195033679645163+0j),(0.00018014985782365429+0j),(0.01314774866865229+0j),(0.003732172953601514+0j),(0.014809095301914023+0j),(0.0029452470514067346+0j),(0.0069974001763817685+0j),-1.3277812198913104,163.36281798384863,3.022999056476596e-05,9.556071498524469e-06,(-0.06955045983347716+0.0044554405317056124j),(-0.03488695119877001+0.15876251322036455j),(0.004109530544050932+0.020373072804659685j),(0.00980520120692677+0.009165581657229185j),(0.08436944872223819+0.07765014353468969j),(0.06108843397114266-0.0006133421189335719j),(0.11306176747606626-0.04501257643261435j),(-0.02872292103764157-0.046046073214467936j),(0.00012044717205639563-0.08365037757751313j),8.792956762686282e-06
6,(9.096030049543714e-05+0j),(0.06969302269107944+0j),(0.16255040747159616+0j),(0.02078341492583407+0j),(0.013421991604727408+0j),(0.11466363269609293+0j),(0.0610915128648121+0j),(0.12169262633843217+0j),(0.054270130390729344+0j),(0.08365046426466603+0j),(8.273776266220222e-09+0j),(0.004857117411819312+0j),(0.026422634969181943+0j),(0.00043195033597938235+0j),(0.000180149858637373+0j),(0.013147748663064512+0j),(0.003732172944111502+0j),(0.014809095305145275+0j),(0.002945247052626765+0j),(0.006997400171694171+0j),-1.3277929595618554,163.36281796113224,9.096030049543714e-05,1.0417441913632976e-05,(-0.06955045982337509+0.004455440514292659j),(-0.03488695119853896+0.15876251322416354j),(0.0041095305349053875+0.02037307278645179j),(0.009805201217670954+0.009165581690125131j),(0.08436944868136644+0.07765014354311772j),(0.06108843389354787-0.0006133421110060206j),(0.11306176748631333-0.04501257644276872j),(-0.028722921067514163-0.04604607320908175j),(0.00012044712612207053-0.08365037754956028j),9.585541123097955e-06
7,(0.0001084131501674926+0j),(0.06969302263358858+0j),(0.16255040745165533+0j),(0.02078341489950192+0j),(0.013421991663656638+0j),(0.11466363267347295+0j),(0.06109151285507006+0j),(0.1216926263460951+0j),(0.05427013036781083+0j),(0.08365046424267747+0j),(1.1753411129239301e-08+0j),(0.00485711740380589+0j),(0.02642263496269917+0j),(0.00043195033488483846+0j),(0.00018014986021926827+0j),(0.013147748657877132+0j),(0.0037321729429211897+0j),(0.014809095307010318+0j),(0.002945247050139183+0j),(0.006997400168015461+0j),-1.327796323850921,163.36281795039238,0.0001084131501674926,1.1356455007758565e-05,(-0.06955045976652985+0.004455440502374953j),(-0.03488695117531616+0.15876251320885001j),(0.004109530528505318+0.02037307276088026j),(0.009805201294305649+0.009165581694437899j),(0.08436944865166733+0.07765014354198453j),(0.06108843388385856-0.000613342105705261j),(0.11306176751232938-0.04501257639813898j),(-0.028722921025981472-0.046046073207977406j),(0.00012044714046971054-0.08365037752755103j),1.0449567887393041e-05
8,(0.00012840662121649672+0j),(0.06969302256503376+0j),(0.16255040747577643+0j),(0.02078341490137142+0j),(0.013421991747462904+0j),(0.11466363266628314+0j),(0.061091512799145216+0j),(0.12169262634260268+0j),(0.05427013039471391+0j),(0.08365046433736456+0j),(1.6488260372236866e-08+0j),(0.004857117394250305+0j),(0.02642263497054095+0j),(0.00043195033496254756+0j),(0.0001801498624689623+0j),(0.013147748656228314+0j),(0.0037321729360881234+0j),(0.014809095306160317+0j),(0.0029452470530592504+0j),(0.0069974001838567+0j),-1.3278001716084376,163.36281793577825,0.00012840662121649672,1.238010937929655e-05,(-0.06955045970231523+0.004455440432429852j),(-0.0348869511219942+0.15876251324526372j),(0.004109530495006198+0.02037307276954465j),(0.009805201345146392+0.009165581762774346j),(0.08436944862681549+0.07765014355836991j),(0.06108843382849257-0.0006133420497633624j),(0.11306176752607286-0.04501257635417655j),(-0.02872292102016529-0.046046073243313564j),(0.00012044707974166712-0.08365037762232566j),1.1391476770165434e-05
9,(0.00015445153934421117+0j),(0.06969302256722865+0j),(0.16255040743909005+0j),(0.02078341491784378+0j),(0.013421991743493747+0j),(0.11466363258454548+0j),(0.06109151276755452+0j),(0.12169262645359953+0j),(0.05427013033618276+0j),(0.08365046433814306+0j),(2.385527800579641e-08+0j),(0.004857117394556242+0j),(0.026422634958614185+0j),(0.00043195033564725143+0j),(0.00018014986236241433+0j),(0.01314774863748364+0j),(0.0037321729322282774+0j),(0.014809095333175313+0j),(0.0029452470467062645+0j),(0.0069974001839869454+0j),-1.3278051740239802,163.36281791304003,0.00015445153934421117,1.3496034470143764e-05,(-0.06955045970565406+0.00445544041464292j),(-0.03488695102935973+0.15876251322805784j),(0.004109530503942704+0.02037307278454617j),(0.00980520133983273+0.009165581762646426j),(0.08436944867369618+0.07765014338673294j),(0.061088433797023604-0.0006133420374813515j),(0.11306176764204888-0.04501257636295286j),(-0.028722920954985205-0.046046073214986924j),(0.00012044701251133731-0.08365037762320097j),1.2418287952535873e-05
