,0.0,0.3
0.05,(0.7372284662937904+0j),(0.026514410768268666+0j)
0.65,(0.013387224099887655+0j),(0.013953676850222448+0j)
1.25,(0.010971168660683315+0j),(0.009764235053291104+0j)
