,0.0,0.3
0.05,(0.1638860082486511+0j),(0.19610223470907856+0j)
0.65,(0.23941588528520127+0j),(0.21368616432501003+0j)
1.25,(0.4475932126092962+0j),(0.6807760567521912+0j)
