,0.0,0.3
0.05,(0.16397951563511312+0j),(0.09664230816504471+0j)
0.65,(0.16883129268405545+0j),(0.1770291520195778+0j)
1.25,(0.22243055351535046+0j),(0.21162131057013767+0j)
