,0.0,0.3
0.05,(0.16365572823445843+0j),(0.08327883673749856+0j)
0.65,(0.15942432645405652+0j),(0.16759563111393477+0j)
1.25,(0.22178292515550954+0j),(0.21407953317280062+0j)
