,0.0,0.3
0.05,(0.7168633797760336+0j),(0.023631528929699754+0j)
0.65,(0.057161754437575596+0j),(0.0174390827458952+0j)
1.25,(0.01432512083271221+0j),(0.007608693919195161+0j)
