,0.0,0.3
0.05,(0.16412444452582173+0j),(0.1057252147465233+0j)
0.65,(0.16998768664686925+0j),(0.1772737534753208+0j)
1.25,(0.2258237409223037+0j),(0.21271320972954552+0j)
