,0.0,0.3
0.05,(0.003565906177575032+0j),(0.0076731337338806745+0j)
0.65,(0.0037435679966002374+0j),(0.004587921539657955+0j)
1.25,(0.007269830314206427+0j),(0.005584815648433932+0j)
