,0.0,0.3
0.05,(-0.0004991965086726477+0.00025944761324209805j),(0.00501796238173897-0.011808134329426132j)
0.65,(-0.0024652303008324827+0.0018406888473728557j),(0.0038257512678724196-0.004868854577436941j)
1.25,(-0.0005471762537008767-0.0013850836213338178j),(-0.0007369733180229991+0.0002825326599701624j)
