,value
experiment type,wavenumber kappa
n_steps,300
temp,0.1
method,sequential
C,1
kappa,0.1
alpha,-1
n,1
u,1
num_field_coeffs,"(1, 1)"
range1,[0.05 0.65 1.25]
range2,[0.  0.3]
radius,1
amplitude,0
wavenumber,0.4
measure every n ampsteps,10
total number ampsteps,3000
notes,['memoization of theta-direction D integral selection rule']
fieldsteps per ampstep,1
