,0.0,0.3
0.05,(0.18967495776454063+0j),(0.21506481437203348+0j)
0.65,(0.10631842402735482+0j),(0.1037851253980011+0j)
1.25,(0.10027143262102743+0j),(0.08796392496665757+0j)
