,0.0,0.3
0.05,(0.0019285188813744898+0j),(0.0009366269975127102+0j)
0.65,(0.003816767704162+0j),(0.004695890022887509+0j)
1.25,(0.007357980050059699+0j),(0.006349584445578389+0j)
