,0.0,0.3
0.05,(-0.0007324905787246999-0.0025025852506850195j),(-0.04504148968864569-0.021061224675802827j)
0.65,(-0.008127431712738989-0.006448838754548432j),(0.015578673979455447+0.013195692941402081j)
1.25,(0.010586666875107098+0.010322112946824316j),(0.0033473031956200087-0.029952004987224154j)
