,0.0,0.3
0.05,(0.00013492233532761704-0.00025767572412968977j),(0.008326103717385817+0.0016620854791077368j)
0.65,(0.0005542642287900066-0.0009371267639848222j),(-0.0014288726016951734-0.0007173254635102083j)
1.25,(2.5894050503048324e-05-0.0002610222780697716j),(0.0016708682319464096-0.0012397624397121406j)
