,abs_amplitude,amplitude_squared,abs_c_-17,abs_c_-16,abs_c_-15,abs_c_-14,abs_c_-13,abs_c_-12,abs_c_-11,abs_c_-10,abs_c_-9,abs_c_-8,abs_c_-7,abs_c_-6,abs_c_-5,abs_c_-4,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3,abs_c_4,abs_c_5,abs_c_6,abs_c_7,abs_c_8,abs_c_9,abs_c_10,abs_c_11,abs_c_12,abs_c_13,abs_c_14,abs_c_15,abs_c_16,abs_c_17
288,0.8996465188940864,0.8093638589582478,0.03744793292340522,0.06418019493376238,0.09128835838429529,0.10871587910458473,0.07632224111586279,0.10541713996685304,0.12259399639680932,0.0059772760637126,0.006969401740037705,0.022639433873446364,0.07134981852494914,0.07275318682197439,0.07835652757094727,0.3293794158933726,0.10631343699027399,0.20979606930327555,0.31400392634461016,0.37731619069912053,0.23027005945094434,0.2529378248640534,0.20563482206128902,0.22025094525045857,0.0854658334364849,0.1072199830842722,0.07170649051674753,0.07286205264802233,0.03542882510353055,0.1013216721091865,0.12046104522198749,0.04542309205602145,0.05254810561870829,0.06978306805339111,0.0704036261539798,0.05227779772938809,0.04596331103681336
289,0.9451523046322421,0.8933128789516386,0.02830456018144293,0.05761494245358077,0.08832553486918279,0.12955057369354211,0.06753403511857546,0.07636218811383341,0.09242993235389128,0.011872719584499774,0.03303110194255918,0.012052154865934903,0.06558324646413169,0.08320455193088984,0.09930782531451712,0.34721292212413163,0.09764905338827219,0.20407093518719963,0.3054620610275086,0.37022674043541054,0.2206562891404976,0.2447713614882603,0.1804870234116031,0.20902953000599395,0.07127843224867414,0.1355835180441399,0.06694669923172947,0.0710441438950056,0.04490542873247531,0.10157627065283753,0.13938556650181647,0.049043491921798625,0.05195299610245336,0.044888788419958504,0.06409364650026349,0.06359110046977565,0.04110862916662703
290,0.8671326788264394,0.7519190826887169,0.01760723471818425,0.04105679676497466,0.07991833319147636,0.11439264145720357,0.07445830305911304,0.07834125267241775,0.06639529407229702,0.015494076647841507,0.037561843684165236,0.031155423685536313,0.041538454623734226,0.09347089892997595,0.11126484225955387,0.3353466127237348,0.11267633668684192,0.21293619098590214,0.3010097782514587,0.3953604807855129,0.2086946888895032,0.24494588464087133,0.1997015921106837,0.20256423681703886,0.0882461648486704,0.13591975863180725,0.07656889103992483,0.07573225878433322,0.045871404237124845,0.11019356014988772,0.14550555550399225,0.053780885045779506,0.06302253149727917,0.055679222457329244,0.061997436513855295,0.05401229076435659,0.03978626229368798
291,0.8909357658070105,0.7937665387941243,0.03093169775451584,0.03984435500249019,0.0907458809354414,0.10393046596268102,0.08931283654461525,0.07468440778369265,0.07205669389072758,0.027747934088642966,0.02158653871504248,0.03618717354925165,0.008448974282812606,0.12821165265810142,0.114853264395044,0.3234514692061233,0.09558947921791082,0.2108733773146659,0.2888413640397069,0.38945449472499916,0.21676455856733895,0.2195038448293789,0.20134143184086445,0.19419939541868345,0.086108822453001,0.13476623341101956,0.0679522494648997,0.07904415839056231,0.0444374876760076,0.0958378805004943,0.1352593909293145,0.05816049146709691,0.0683559093012486,0.058684273487291834,0.05771997278924435,0.0586435124658057,0.023790798298813857
292,0.9616550688602147,0.9247804714645442,0.03846345423694364,0.03338586255213374,0.09798853293081669,0.11000675522386319,0.09006090921886808,0.0576584262489329,0.0790108537160074,0.033860871685866475,0.006892530999886703,0.048690039936432755,0.009146873428928962,0.12397973394086725,0.11292061848471426,0.342987666253073,0.0907482035800613,0.18661468926025418,0.271544340443719,0.39091682972002856,0.21224193414406892,0.23107159156529636,0.21419598888602595,0.18514782687197667,0.08464668055428078,0.16131201569491888,0.05151738382139308,0.0879698166971467,0.062089542297034325,0.11538842403526599,0.1337970407552463,0.07014411305042208,0.033845642660781085,0.07612974475767056,0.08098512114823908,0.0648820340687959,0.030412761810134088
293,0.9018558042585841,0.8133438916748976,0.031167281130183723,0.039269144118727846,0.09018230423259563,0.10607696618388233,0.08184428075223966,0.05212766601475724,0.07528787098851113,0.03823287645243993,0.008039364968866279,0.04865258573820692,0.011209874869580586,0.13119291090263044,0.0897494976487483,0.33072117312239985,0.11058199103331963,0.17806038092757487,0.2690095717836228,0.3849806202487602,0.21083098420799706,0.22513253742866204,0.2064738903158897,0.17247525948328377,0.057539838733986264,0.16913109869275703,0.05428384132183054,0.09848831409122673,0.06995140394932299,0.08953282361026225,0.14531886487428136,0.0949730212908692,0.0290318706593397,0.076273434977322,0.061369578249068066,0.060290526719315146,0.03158323140524658
294,0.9018558042585841,0.8133438916748976,0.0312867691144562,0.032236612071446215,0.07824695486485737,0.10905223216263202,0.06736643986128313,0.05744922223512562,0.08206499826464386,0.04089834301854222,0.012995214281597903,0.03986390053261013,0.01064754343743156,0.12281572961224166,0.08266417954831784,0.3421550660963483,0.10523023544703829,0.17191573661520174,0.27247171573453477,0.3730236598857417,0.20079931452231395,0.21693992984269,0.20797187538903905,0.18588588206670462,0.06454763280827404,0.15325963776148088,0.05250103203683156,0.09371305832655719,0.06832835476113387,0.0973545967188663,0.1539452069803888,0.09323381161857698,0.03409673097932737,0.07364605993154699,0.05470241213091496,0.05780841222804757,0.029492766458545455
295,0.8657557941578224,0.7495330951178418,0.021172436029509033,0.037749494362523305,0.09041463860738444,0.10582872870641788,0.06883766601413292,0.06701097287651982,0.08869957187095578,0.04936204497980739,0.007879726501983755,0.028314663236619592,0.0038446506946853824,0.11240809886862337,0.07476289582453814,0.34668132837552973,0.10957460356190736,0.16975668865273255,0.26530579913047675,0.37417094634804926,0.21797274340838516,0.21896797138201615,0.21289147462251123,0.1777143127742376,0.07688939646061588,0.1546264157773119,0.05541353875720037,0.08556515042565374,0.04985782199862766,0.08716924267379801,0.17220452510847603,0.10649391883437911,0.03604213135446707,0.06042871542242201,0.06088427460992409,0.062240795918290626,0.023386066174704505
296,0.8657557941578224,0.7495330951178418,0.021831987638065202,0.03997939919037286,0.10191421878686288,0.108972441098445,0.07474436878997381,0.06732620165841557,0.08890312037412286,0.05037554745778783,0.009965186894337673,0.028835364516575434,0.007453277142712257,0.11437932320668591,0.07848475760318785,0.3393919916920205,0.11539021103796074,0.17613138136585796,0.25823049000629356,0.37615512598293444,0.21277514035359738,0.21368484716949998,0.22200357347838756,0.17228145803958675,0.07540932094350343,0.15326054267959166,0.05536224373372821,0.08898466367014378,0.038907031198076016,0.08829757617800672,0.17534534093009022,0.10282100960508468,0.036808583825091425,0.07619891025503729,0.06103836694297507,0.06471092750520636,0.015800934635470318
297,0.8722421824120166,0.7608064247788776,0.011387190620825553,0.0400364823938471,0.08680509789822483,0.11635818117574898,0.07417858840891184,0.06651265110419002,0.08203254654453379,0.04737491059898832,0.014078911119457966,0.03498712823288692,0.0037572588177433026,0.11968160831286292,0.06244555427536819,0.35947008943026526,0.11908354517604681,0.17464113815677268,0.255978528075779,0.38691801955307226,0.21194687207784896,0.2034246831504634,0.22688520265796258,0.17698314439975155,0.07082449283724335,0.1409598558236911,0.06113706552526191,0.08367595997073643,0.06098237641220952,0.08866381802841447,0.1679681247933838,0.08317251309090912,0.03563720631432298,0.0770060013922715,0.0592216943093205,0.0734940559103939,0.025678115394144517
