,abs_amplitude,amplitude_squared,abs_c_-19,abs_c_-18,abs_c_-17,abs_c_-16,abs_c_-15,abs_c_-14,abs_c_-13,abs_c_-12,abs_c_-11,abs_c_-10,abs_c_-9,abs_c_-8,abs_c_-7,abs_c_-6,abs_c_-5,abs_c_-4,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3,abs_c_4,abs_c_5,abs_c_6,abs_c_7,abs_c_8,abs_c_9,abs_c_10,abs_c_11,abs_c_12,abs_c_13,abs_c_14,abs_c_15,abs_c_16,abs_c_17,abs_c_18,abs_c_19
78,0.8975861335200097,0.8056608670874007,0.03332265703134115,0.05359178709561132,0.05925428830313908,0.09427021338995195,0.04151222943403847,0.10735823387807528,0.07794842171486878,0.028188010714269754,0.04421804892091995,0.14060625082885858,0.0778356843949027,0.09461246784204136,0.12588104186072324,0.1948311900465785,0.13515962648883922,0.163533940062003,0.05071428142335551,0.1111392079498826,0.06521827336843682,0.36525133757867445,0.0872773407480063,0.12482273019808579,0.22874432302782519,0.3232947465332814,0.06948794150490302,0.07976460488678967,0.06830112636667787,0.07065703434134595,0.03418410634124948,0.030177785282225766,0.031709207282591585,0.03016905676980916,0.053876282926971004,0.04431932194228434,0.025233773612413454,0.012631106347974526,0.01563715178348896,0.043552841722821256,0.026682835186517647
79,0.937179937983764,0.8783062361592517,0.033409259155383945,0.0433413237683338,0.04233272575307472,0.0794161396184221,0.04128893258422123,0.10786578744124777,0.05863312659067524,0.029740349165445806,0.022855007797311363,0.14922434506791496,0.07962660244957416,0.08282259095062326,0.14486729081815475,0.19338885211962095,0.13040460056125236,0.1693561803797214,0.06699768275079886,0.12084199830957326,0.06240247812817482,0.36329109017008665,0.07293929156194313,0.11694977755765405,0.19941976217737964,0.31359669167449866,0.067249583198938,0.08056933496041685,0.06903087604460911,0.06560593595658795,0.041237675801053524,0.0288374249753403,0.02779402902687857,0.034235967549778965,0.05308953032010625,0.039161005531714484,0.014710156686362191,0.02112067002584882,0.021927766057429906,0.030438254053115416,0.03388203288513449
80,0.822657072237728,0.6767646585027504,0.043630886483365654,0.04579861415115537,0.03603268303124829,0.07892813420753625,0.04400486775588623,0.09642054852939612,0.053757857238966374,0.03654952109864057,0.01991573337381711,0.15390901384954866,0.08172028503968075,0.07187217796723896,0.1570778085790725,0.18790333276991325,0.12139638247286286,0.18040291737381184,0.04618503549159065,0.1342829469893642,0.06137582075151138,0.3770937224213927,0.08658671709446954,0.1135703403349328,0.18915842224064464,0.31955553722239344,0.07225278200849321,0.08117703565815147,0.06378279412053378,0.07905782753565821,0.047240948016680016,0.04125336955143056,0.03328619689465785,0.027418226932312714,0.0448178634314414,0.03392530123099317,0.014393327493526441,0.028677235149058528,0.015345614404958822,0.025307620789548787,0.03481490843306269
81,0.9054625948695817,0.8198625107079562,0.038107369179389096,0.04621562409159894,0.03350277220583247,0.07443226365801953,0.05681000106891495,0.094171407349745,0.05417947875941158,0.046898269776755076,0.025412487675424554,0.1727401934234641,0.08224783074284032,0.06481364137695263,0.17053746100909725,0.17689596960378412,0.11771089576736227,0.1735027839753803,0.030784785109108512,0.1385886568376468,0.06157540476009648,0.3703871898496834,0.09681290974890819,0.12230950393170004,0.17199837701452061,0.32677219829540666,0.0764830115450916,0.07781104299863971,0.07349312191732356,0.08064164838006081,0.05233475539049969,0.03495979354476962,0.038146373225790786,0.02946153537838963,0.05295893096943736,0.03220052864153785,0.01883505452930814,0.02132948223631352,0.009330226800994481,0.015778331756580638,0.04516014243512801
82,0.8200240268957075,0.6724394046862521,0.04955147012611034,0.04518438865947368,0.038874507733561006,0.08243900332028518,0.03155529953114273,0.09125965581238495,0.061992037543950274,0.05099313583442175,0.03190134696582713,0.15912180791198946,0.10429074665437844,0.06528739686273946,0.14443996779207927,0.16725936215348958,0.11967276622071038,0.1671164341659522,0.03982428693984421,0.13077045299212434,0.06885279825760166,0.40682386103854085,0.09620189602857232,0.15402639270385257,0.1928446473770057,0.31988385698334004,0.06907308227695778,0.09353851739699864,0.07687130115741879,0.05371327299557201,0.05804838157121637,0.016323907603597844,0.03822678122297545,0.02934132597846343,0.05069933133549926,0.042172077009545034,0.021381143308647037,0.0025769094708769113,0.026345035843571087,0.011676457514741216,0.03697727237311731
83,0.8266612517992759,0.6833688252263458,0.05265293944917213,0.06635537919270056,0.053781766644668466,0.07916944374505412,0.03703946866597965,0.09799398411616035,0.057516185978406416,0.05909534025892891,0.06289383641162732,0.14325304164854447,0.10809405271316341,0.04656553664997996,0.15293476944468679,0.18825246323159317,0.12426667891077148,0.17701049538132643,0.0429253973787745,0.1472439893512777,0.05961858187914608,0.37323678532163734,0.10976075612913704,0.16298364077563793,0.1991080696111311,0.32559288206135395,0.07324601481093174,0.06959145547675213,0.07151429902295169,0.04957636995397907,0.06166561107066061,0.027179284253555897,0.03326424180276138,0.0548332710586658,0.05624443338299177,0.0416081307663634,0.016842668475009155,0.01209624468117272,0.028442964992151043,0.015391072125707022,0.03220298049876315
84,0.7681716591415372,0.590087697908262,0.055992107627004795,0.06125119927180808,0.05061238584459494,0.07367949735700083,0.03871294761196094,0.08847933370098673,0.05865351821997394,0.06076146393431912,0.06506717986224805,0.13964719266715242,0.09575754200158751,0.03383067249244033,0.14980354614505514,0.1807563045698806,0.11941647925052463,0.17983173901619343,0.040248271488911615,0.14747201814554786,0.05673654878453681,0.3765079714124699,0.10884477843378232,0.16551709233529113,0.20509096853452974,0.3232198354459135,0.06813248272111008,0.07059647295822434,0.07035669042667633,0.04992484317199263,0.05663490270038709,0.013302414301822997,0.03151969465296956,0.05273515024622044,0.06492107526059164,0.037567464941163115,0.029077663426102265,0.020370408365951033,0.0278249595774179,0.01596780466473612,0.04277002484985582
85,0.9127329908392414,0.8330815125663468,0.05566564960196898,0.06133727757402117,0.034383038460667446,0.06159391081332539,0.04341578731714132,0.088708873886716,0.06847694165964141,0.07657895447279482,0.06618522473966634,0.12360672772310853,0.08715954905105527,0.017612648653281233,0.12462795665305708,0.1690160264540983,0.10656980012994646,0.1581713903207608,0.026065090988671605,0.13748459490599638,0.06191860208796981,0.38756598790666286,0.11564727943638843,0.14392713418878883,0.19671632594028524,0.31322638030440586,0.07097543102772579,0.05649579940839218,0.06329011397352714,0.05598492013548647,0.06763625050188199,0.0060349900215806935,0.027725158119667612,0.04812403161982501,0.07509955989444009,0.043302162205842126,0.028562418424543583,0.018474777452845523,0.02603004939515277,0.030534719606705493,0.022524946759617994
86,0.8930628359788668,0.7975612290066164,0.04466580560840343,0.06431335719055907,0.0398157489246674,0.06218755140875719,0.04696483068479776,0.08846826782360999,0.07215135792210522,0.06355475706484627,0.07466488512600038,0.12463123359896537,0.08439331939793876,0.0359896956598335,0.13136442032748297,0.19232696390345075,0.08827217176082831,0.15987223804017744,0.024539166348562003,0.13297420558190748,0.08093805757557826,0.3916857159649865,0.12260693738730748,0.13822396397720363,0.20286838221058268,0.32065848143865383,0.06838431927345777,0.05608442107790901,0.07197916808387038,0.06472251531401026,0.07976984965190304,0.016092362637010957,0.02321995536021178,0.05431647444928582,0.062102787526649966,0.052604289589417465,0.03974581832274805,0.014860107391031985,0.028208178589233007,0.014954376310872442,0.019919539746977934
87,0.8801808408712087,0.7747183126367481,0.04272141838692552,0.054421020490225035,0.044289573834359906,0.06553469791007532,0.03770852747343244,0.08419986899481395,0.06950110942963555,0.07363440593415574,0.08507745531780121,0.1284898293971666,0.08073429619393696,0.046691268846260896,0.14311285464833612,0.1914784868130445,0.08871815069485843,0.1567200724813725,0.014613581348948123,0.12657178717792048,0.08695991426408564,0.4011700244400338,0.1262676859525547,0.14203206408818134,0.21373572533840052,0.3185090049919232,0.07533614704288707,0.061750221603783025,0.07105383189822534,0.05204008503364814,0.08758151998836307,0.029469996484008314,0.040212176299479964,0.060442653535230345,0.06468975335199964,0.046688966375573605,0.022448275053094123,0.003863355227423395,0.014560710132737364,0.019328685101433946,0.0275206512672316
