,0.0,0.025,0.05
0.95,-3.5813573434769645e-204,-3.5490928629050956e-205,-3.5171190533293775e-206
0.975,-3.485433296092186e-207,-3.4540329961273913e-208,-3.422915581747862e-209
1.0,-3.392078504434813e-210,-3.36151923862909e-211,-3.33123528152432e-212
1.025,-3.30122415286195e-213,-3.2714833947280587e-214,-3.242010571352131e-215
1.05,-3.212803268907524e-216,-3.1838590953137654e-217,-3.155175680040667e-218
1.0750000000000002,-3.1267506739141734e-219,-3.0985817489239504e-220,-3.0706665980327486e-221
1.1,-3.043002934987415e-222,-3.0155884941316785e-223,-2.9884210302205855e-224
1.125,-2.96149831823661e-225,-2.934818153207455e-226,-2.9083783500254045e-227
1.1500000000000001,-2.8821767432684114e-228,-2.856211187022746e-229,-2.8304795547072263e-230
1.1750000000000003,-2.8049797388990514e-231,-2.7797096511612222e-232,-2.7546672218714775e-233
1.2000000000000002,-2.7298504000528107e-234,-2.7052571532054922e-235,-2.680885467140578e-236
1.225,-2.6567333458149907e-237,-2.6327988111680114e-238,-2.6090799029592905e-239
1.2500000000000002,-2.5855746786083085e-240,-2.5622812130352562e-241,-2.5391975985034054e-242
1.2750000000000004,-2.516321944462836e-243,-2.4936523773956058e-244,-2.471187040662308e-245
1.3000000000000003,-2.4489240943500337e-246,-2.4268617151216542e-247,-2.4049980960665097e-248
