,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
0,(-0.6002830343999559+0j),(-0.037925655769270476+0.0370648313568003j),(0.12603129488618187+0.19532250648800095j),(0.15114071498959103-0.14198887028454804j),(-0.05272815475259533+0.17143412851875986j),(-0.6491323265817885+0.1631831300266819j),(-0.43225168691271726-0.15227605348740864j),(-0.14337320814513071+0.024528136344001653j),(0.21668608915916013+0.03080689597105904j),(-0.1922760667454237-0.007776024114171234j)
1,(-0.07924596158729544+0j),(0.01795195489297667-0.16550714460321933j),(0.06364487619964869-0.11563086705471573j),(-0.12611687039488015-0.5301013512619915j),(0.19608325208788188+0.5386740879192036j),(0.10017279548925412+0.24044981751911373j),(-0.05756146862663379-0.2135127484469535j),(-0.21829830329782474+0.03886134857212454j),(-0.09944945891899588-0.041922370389403926j),(-0.08680890581989736+0.26274790626197814j)
2,(-0.18245338982017323+0j),(-0.004055777438830274-0.06602932996737167j),(0.011459120968955003-0.1090897745338066j),(0.13738419848225775-0.00469335202463227j),(0.1477414774755065+0.12336259692011599j),(-0.3965882790151832-0.4964935491403458j),(-0.14651296597515526+0.5318787409538345j),(-0.313696992373571+0.12303545877849438j),(0.03087591944527101+0.1653260132735807j),(-0.10851494838643147-0.027363046534583192j)
3,(-0.401707461630442+0j),(-0.14275023191886935+0.09447575910209423j),(-0.12305130431685922-0.19475497880753226j),(-0.17183407746945906-0.09620634300914384j),(0.15901054548293825+0.3541125821136033j),(0.0020636643570124957+0.11087145949890138j),(-0.21667595613411125-0.2858900285698498j),(0.3016354427283873+0.1312745934545652j),(-0.08211206439709842-0.06650502503715679j),(0.16941315246418617+0.04062340785138851j)
4,(0.1395901547163152+0j),(0.16407072235680148+0.0833871416229538j),(0.04114588813910984-0.14163191143936427j),(-0.27382395466234555-0.21443228259743036j),(0.39192730492266037+0.2956525395887624j),(0.007325702602112849+0.08962470759940533j),(0.1262157834289011-0.19749500943264886j),(-0.0550960681688307+0.07479878655828669j),(-0.17637151242341773+0.23051988638103582j),(0.059835752636889214-0.15359871405892164j)
5,(-0.4429253737914627+0j),(-0.010426330648509407-0.05093028359079521j),(0.23152355222526377-0.027091892100785955j),(0.10602621187110753-0.004445828268666019j),(-0.06233916048410304+0.036787655524444976j),(0.9729091306799926+0.3931600613471219j),(-0.0543753159243853-0.24791970282650339j),(-0.0008739425841589252-0.021523846480635624j),(-0.11143001529667378+0.08208418152420725j),(-0.16420737240765612+0.09938311397490895j)
6,(-0.5714507104866022+0j),(-0.14375685289067142-0.011779186150083644j),(-0.4211383285479198+0.19577775241046277j),(-0.03824439138060141+0.24775418468138313j),(-0.09597308228269168-0.21129161908292765j),(-0.049769486750261493-0.4756172642884887j),(0.5374455075369036+0.39429293463049525j),(0.005347017612963315-0.06327559024742152j),(0.1365395515668504-0.08529321271017055j),(-0.08658102618846174-0.01992772431039446j)
7,(0.029821458908168397+0j),(0.004741807784410721+0.12222397626256228j),(-0.06911668046989172-0.006031681844463326j),(0.07210965752207861-0.009939296050284489j),(0.238188980504092-0.3521693083340649j),(0.2571043469405472-0.4371293519382372j),(0.28712561166799055+0.1410386409104707j),(-0.14615789642399113-0.24816781349856626j),(0.17354719735665403-0.15904821335173044j),(-0.03960547254252893-0.16742546950554554j)
8,(0.4172511094675+0j),(0.030053405558734134+0.023834471783765347j),(-0.07641511590392211-0.15726789770304198j),(-0.44860548309467546+0.16558943220432742j),(-0.00868386255802539-0.27435112306134024j),(0.6631863638646498-0.2061689636742284j),(0.34437914300928796+0.5059975955053404j),(0.024945457642189493-0.025731449785047406j),(-0.04751166106650084-0.20086778054052157j),(0.041571614439126665-0.02706575039015327j)
9,(-0.1733828040284877+0j),(-0.042339343641186036+0.0916063847320199j),(0.01266861914134125+0.1819200528489237j),(-0.10738409348826476+0.1170335681159646j),(-0.393920909643738+0.03012072391453616j),(0.2663628759156997-0.16889492633107045j),(0.23539891757212225+0.5804682890235471j),(0.06789221552468755+0.18740000912735563j),(0.011656903159269077+0.1521418895001653j),(0.007102891327492644-0.19898056057394264j)
10,(0.0982036342674503+0j),(0.02110959318063014-0.11227937860677532j),(0.17310979717195213+0.18016584533406055j),(0.048815563851073634+0.2653919433497522j),(-0.29970764319024523+0.21865072156865406j),(-0.2818808279215965+0.0030054773929735767j),(0.5586353338195048-0.08251741323894224j),(0.23420124188722746-0.09585960616417816j),(0.07389375469631151+0.2313969262303287j),(-0.07037838305877153+0.028194905317433794j)
11,(0.0982036342674503+0j),(-0.07381702506353002-0.13255478302447898j),(0.29602670749715276+0.12707357157103905j),(0.056478138194004976+0.4310940599302788j),(-0.394957254492433+0.10057780149635764j),(-0.3541654903248775-0.033003465172171266j),(0.5795828299802839-0.05634897122359814j),(0.28022560042541134+0.06159145395234124j),(0.036870411519045625+0.1169075750755166j),(0.04841084141963124+0.007000413023033552j)
12,(-0.2780933301791113+0j),(-0.0924361177403621+0.05458320780561837j),(0.017957943302078012+0.09492217153890434j),(-0.24340062338469043+0.08446236661767521j),(-0.2436565359650501-0.10161280415026958j),(-0.41335863140497253+0.014449654212956603j),(0.5846556472414769+0.21800195195015154j),(0.5185514154369185-0.01972316399395185j),(0.06203033008747975-0.09106273135590282j),(0.04414415688930522-0.0287467482256512j)
13,(-0.24314690251184223+0j),(-0.03147026985952461+0.12702870215722012j),(-0.20235532794702352+0.010630646697693463j),(0.010672727986737409+0.07784374408814568j),(-0.14145809027837303+0.04003444725899092j),(-0.16245519386638477-0.01016834962375459j),(0.6461240831417102+0.09992159563989805j),(0.13195286114276314-0.06885767973065055j),(-0.10029514133333071+0.13271523730337337j),(-0.04073242968392814+0.03036371611121063j)
14,(0.04539138538313292+0j),(0.11240710609913525-0.013125611089615668j),(-0.008973665426967502+0.061556880697636124j),(0.3352691912915314-0.24756958777566387j),(-0.295546023149376+0.21411726230731282j),(-0.498199939843713-0.15011845487875347j),(0.0849121208062185-0.03290104915834943j),(0.25365484604254385+0.012491389742038894j),(0.10530459358259217-0.005863718905140591j),(0.14800977483569897-0.05970455657098576j)
15,(-0.3711172305505772+0j),(0.05229819160402771-0.06485955169111342j),(0.2348086033918106+0.07349957669468009j),(-0.015217582182169967-0.4289694075633959j),(-0.42379215099747836-0.765505126886204j),(0.27677595918260167+0.09735000483215772j),(-0.2560653204358636-0.3026311859881804j),(-0.006272304964970374+0.29063906175620463j),(-0.03313304506003513-0.006958410199942755j),(0.08712949313760268-0.11828319155494248j)
16,(0.33368453912337465+0j),(0.05029745813646541-0.13661167948147496j),(-0.19706959078356642+0.1613062168940012j),(-0.24371276312403575-0.1813823267755924j),(-0.0921072679962876-0.12450167004194215j),(0.2910797042819717+0.6964717051409509j),(0.231962394623172-0.023388224130482638j),(0.22797693797602833+0.09675387402249988j),(-0.08885349294247454+0.2557683110944531j),(0.18800607938738295+0.011089732495724147j)
17,(0.1917982359845194+0j),(0.09468154616763344+0.09230792911415522j),(-0.07686756734523252+0.0338581115525759j),(-0.1084118542776809-0.03773550810009142j),(-0.3804384092358311-0.31083918136830535j),(0.1723094660538405+0.54013916345835j),(-0.12338420081858734-0.16319550691085027j),(0.03789608346164541-0.15966170820206277j),(-0.009235345533224047+0.06208747069974387j),(-0.02180135707593505+0.09178643947585577j)
18,(-0.5356965998476249+0j),(0.12028857319220157-0.12304557686481284j),(0.17351674009781867-0.056654166029897535j),(0.12472221534003354-0.09405057095881414j),(-0.2184705975172273+0.28135506949993283j),(0.024494049172483837+0.3888204569805368j),(-0.4912385756638936+0.007312248787273478j),(-0.0064818892271181+0.00295886770957487j),(-0.09702645928333711-0.0008833872734073413j),(0.04497931943146147+0.13367064816260685j)
19,(-0.810386676090707+0j),(-0.14969707725974352-0.2590916932126692j),(0.10912534675185714-0.05330930807986042j),(-0.2513794731785924-0.08082466338191135j),(0.1531141661548216+0.1652914390562233j),(-0.011785013986145745+0.43586904315379305j),(-0.40792552877123833+0.3761338648924469j),(0.4110602357106862-0.09556526143983556j),(0.11415187173721894-0.06701214252447928j),(-0.11216998346808645-0.0439335895504547j)
20,(0.65710582745959+0j),(0.10338383464642696+0.1108616757982211j),(0.14384227396605587-0.17540180532535452j),(-0.06068561947255843+0.06447503966316401j),(-0.2049050898773442+0.697367402960989j),(0.04904607400633353-0.023845132644712996j),(0.06982810195413079+0.6280497567710305j),(0.0035244171156816884-0.06695509544235215j),(0.15165638979459023-0.09426330585413545j),(0.02295948603208217+0.10636587838660921j)
