,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
0,(-0.5157040936455519+0j),(-0.01887999311659223+0.010982510182571577j),(-0.048689210967139476+0.09137169206131962j),(0.07155385632921384+0.0018683186112208455j),(-0.2626356159323636+0.45421718540469025j),(-0.030745793496626934+0.23274429251040654j),(-0.0864238403859993+0.2621206594362363j),(-0.07915557529031636+0.09667189735164151j),(0.023626196009881348+0.015609342527780956j),(0.14981964826581773-0.14624602208591161j)
1,(-0.3979924403893227+0j),(-0.14025617785002853+0.09626848763309746j),(-0.03389158384653736+0.10257239380952182j),(-0.40252604849840573-0.01961618091487556j),(-0.2870166834801823+0.5265184236577145j),(-0.09611909135961558-0.4271580138833973j),(-0.004290167201189696-0.033399180763265646j),(-0.055064714811680696+0.2381876335278595j),(0.2721910607521609+0.012651171255009447j),(0.022645938884389705-0.0720148891295673j)
2,(0.01625739732698761+0j),(-0.08727319053876506+0.15024210428628176j),(-0.003576517876561335+0.039713435854881775j),(-0.04817354618248528-0.006363421615933028j),(0.08307690449887997+0.68113013563271j),(-0.06439218032260954-0.3871926885031192j),(0.14736109595238372-0.2023044777318354j),(0.0838374647014977+0.2923909134097175j),(0.1485568081918633+0.2517436510687205j),(0.11968939495390228+0.07128438381173624j)
3,(-0.14914261917548632+0j),(-0.07324829164710438+0.1659072484117557j),(-0.06417931786456652+0.15518818704569431j),(-0.14963405000787441-0.02743335763353722j),(-0.09465351909400911+0.6233500880693665j),(-0.04668383787828808-0.43962238433205386j),(-0.009376516525318805-0.2890366700283519j),(-0.025745191100043932+0.2635093989400259j),(0.206771065444272+0.14759402689410883j),(0.09504404311755615+0.0009778655232653994j)
4,(0.5552121890679562+0j),(-0.06262355854748003+0.0056881538599574885j),(-0.22075787693104126+0.15577920534397258j),(0.044948901570788694+0.010069022738241451j),(-0.3687889559045503+0.4532870428453173j),(-0.12672410140572546-0.5943902640743631j),(-0.08644717181363956-0.18193151078221248j),(-0.2362102381256218+0.08347991741071761j),(0.12172700882117879+0.2549107923720616j),(0.006835686470954595-0.15979413649008145j)
5,(-0.2249940063828465+0j),(0.08430126304370858+0.12221141200342664j),(-0.1717704025524411+0.06578722069263204j),(-0.06340315722858385-0.1962112242265139j),(-0.22402359315236386+0.3989726026492406j),(-0.15450516150044394-0.7531759870081207j),(-0.18548225871332674-0.027405335510720497j),(0.16330963424304262+0.15338459536470184j),(0.04471851462015511+0.1688280685542865j),(0.07023193717510715-0.011772087726452829j)
6,(0.4583100669121574+0j),(0.05240360699905513+0.03679318215991713j),(-0.018826209023017595-0.09695652855381784j),(-0.10159072591323154-0.11087545757252573j),(-0.3255327009258811+0.4115015249835625j),(-0.48016446100003857-0.6929251486052674j),(-0.13154231388730636-0.028399102843994113j),(0.10042343661641165+0.1564129453032754j),(0.07401749823033961+0.03526462738797029j),(0.09990114280819949+0.05500055448051815j)
7,(0.1355284914181251+0j),(-0.003050932745543973-0.03698769609521346j),(0.1283327860525765-0.21058292736910825j),(0.06256614638371007-0.07120084288041056j),(-0.23464000616292374+0.24054843096724662j),(-0.26559636733185366-0.6391100553932684j),(-0.13657395926274102-0.05562860745036621j),(0.07082429443308293+0.14251771946936714j),(0.029533910284027465-0.020704076849961672j),(-0.004163238831137458-0.03822007729973969j)
8,(0.42644076220214255+0j),(-0.04459780575696112-0.11833769650669447j),(0.05606581946671089-0.08229132202961299j),(-0.00214756932492489+0.05208472899174377j),(-0.17415811411792576+0.14527916516290124j),(-0.20508306524308254-0.7426801369411866j),(-0.12388646279551506-0.27321136716940997j),(-0.04307268847616445+0.1785604742271255j),(0.03338938464354224-0.02725218047137566j),(0.062474663115209265+0.02052780137099179j)
9,(0.3798827502242772+0j),(-0.054828977497821146-0.19913044781717149j),(-0.1467824172204341-0.09896413546218341j),(-0.15257636358327278+0.06498811033410294j),(-0.19627487714761085-0.14448561667742904j),(-0.1050524687174544-0.8502059899770223j),(-0.2402703313749348-0.07397331664973197j),(0.047329042271554926+0.2813477912671836j),(-0.17973446891960176+0.13203475799959843j),(0.06090499525090089-0.02666051839117997j)
10,(-0.3523894028796969+0j),(0.06039070377734107+0.002926185756475172j),(0.13435898752206907+0.16471807928243382j),(-0.43767937949547725-0.006573127049247611j),(-0.21635691787158298-0.01852033478253299j),(0.06738295700384261-0.513261206120741j),(-0.2465251332209326-0.0815284375259347j),(-0.06587991116771114+0.27112331006461415j),(0.22218303491808256+0.027432356429045276j),(0.09832755887209237+0.07029025754881074j)
11,(0.0236357359728945+0j),(-0.0933716894322306-0.15217335377349617j),(0.021128270339699995+0.14597095615332223j),(-0.4549090515164854-0.06686192665627036j),(0.05218469212049227-0.12369810100159728j),(-0.2074791443411486-0.44376140744742j),(-0.46493800810956154-0.10823727064185974j),(0.11792568651936748+0.2119330663593071j),(0.11048673807690129+0.2042423421881136j),(0.1333201312499131-6.06314764036997e-05j)
12,(-0.2982663717630354+0j),(-0.05330667075473279+0.021277625915789286j),(0.06907274097119359+0.21251422136298537j),(-0.4493496875319896-0.17506732588835766j),(0.32008527704089174-0.01135800760551111j),(-0.1424083810499958-0.5402043499048049j),(-0.29943248684946694-0.10838070594670624j),(0.0778975955911406+0.17004459996591598j),(0.09414248520651508+0.05769652007296994j),(-0.13341130521966968+0.06111606609295754j)
13,(0.6815460715649162+0j),(-0.16741054699512314+0.04016913961949031j),(-0.02853348184610041-0.05325786349413298j),(-0.36053315330988017-0.1900518807794105j),(0.4985948912166809+0.07299990881467083j),(0.02378786750505673-0.3503063384601592j),(-0.2446008379717727-0.32377828265167385j),(-0.02316601288384639-0.04154844165054424j),(0.0409139501392311-0.022768126418032414j),(-0.146674381445627+0.16246741751174953j)
