,1,6
2,(0.0021859213804371652+0.00014873797609901595j),(-0.0020286081180161584+0.002838658709219653j)
4,(0.0011259805309279725+0.0025889090153423423j),(0.01203668396782147-0.0016547520167185983j)
6,(0.00929926940922893-0.0029729401417876514j),(0.015132436279924753+0.010266833098416353j)
