,1,6
2,(-0.01940133537484056-0.00482170642854623j),(0.0036330664960327577-0.004292211415222999j)
4,(0.003825271897199747-0.006258777028299782j),(-0.005206213120364397-0.008192583517672877j)
6,(-0.00035487960942630066+0.016073220478622335j),(-0.009878296561713035-0.016510418107434862j)
