,1,6
2,(-0.022754586055856355-0.002210118953887473j),(-0.007330046819978727+0.005759918301983663j)
4,(-0.016920838113192775+0.012847610918884665j),(0.008610788778684934-0.002466174800392308j)
6,(-0.05061741924736761-0.05987210259005414j),(-0.05321145496147158+0.01901983561071721j)
