,amplitude,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6
0,(-0.47475300393835146+0j),(-0.17694809586875923-0.022404996920860978j),(-0.09606385740167488-0.033126664972523416j),(0.009907103840841145-0.18446635848091492j),(0.14655051500429012-0.11097437836600235j),(0.08234912427219573+0.1624120609826841j),(0.5336964229275227-0.4097811553673941j),(-0.19740144643971527-0.23199523359403376j),(0.13860614389835496-0.2898671536432498j),(-0.059495790183845695+0.03832114452923673j),(-0.20789880459485577-0.020642469611728012j),(0.032617254421803916-0.04443649939527346j),(0.1251509746383546+0.025365988096476635j),(0.0236358477780984-0.1076799407270922j)
1,(0.6573664831380022+0j),(-0.033200857337138484+0.007284358396407899j),(0.001540150636544395-0.1113232880859469j),(0.04330320061911387+0.039832353774518506j),(-0.09757722408223214+0.09420419184989817j),(-0.12887763917203665+0.16043209642145906j),(0.14383006326020917+0.2942329193267654j),(0.5192165850260213+0.4162031820149993j),(-0.0295835950423664+0.0329085830766946j),(0.05939996278531119+0.21230291021838543j),(-0.2007692377537304-0.11648802409835947j),(-0.00861022512320183+0.08680378385184444j),(0.015366701270641096-0.16659882633878625j),(0.0626740518651188-0.024265506037506664j)
2,(-0.658511710174571+0j),(0.007113538280983479+0.03137220685998466j),(0.07058820994962975-0.09385635106723572j),(-0.08662177339203825-0.03176406261896976j),(-0.1478673725028845-0.10653425891094788j),(-0.45832128587550025-0.21081149235600033j),(-0.4255544436568871-0.41667410010496j),(-0.2248424422444121+0.20713580006600235j),(-0.06796367813185289-0.4875428542605637j),(0.08472012653489554+0.16554602851764913j),(0.12638712846541977+0.10268270119894611j),(0.026688004161351635-0.03811485801321169j),(-0.15036309783502363-0.005326706243220031j),(0.09555077935013387+0.1902456161139832j)
3,(-0.6873187986748948+0j),(0.07145480263200542+0.027914017883847557j),(0.0210177269925279+0.020068724964958887j),(-0.09003687326847737-0.008480867104091195j),(-0.34001182503362637-0.11330084268113033j),(-0.17507465810671302+0.09566463349678092j),(0.11810068456544905-0.2725599064820127j),(-0.5280270185856939-0.26205081286369325j),(0.44703688706823036-0.025700861239236997j),(0.04331431248104932+0.14011860626439296j),(-0.04305836214664563-0.18412094610052307j),(-0.13923100964160903-0.049712787705181005j),(-0.10287991501054428+0.13159930722019544j),(0.053617869966697984-0.05965992846450474j)
4,(0.521594143220772+0j),(0.038491990269312784+0.051953601346531805j),(-0.06762366759345088-0.1524362646149078j),(0.08836826408900456-0.2099336567050528j),(0.0040686572516842115+0.12323216801257478j),(0.04337712197763692-0.0030872312336906876j),(-0.6821193212707688-0.108146976877427j),(0.08779809008920861-0.15269513986356642j),(0.28900160946217+0.49995812393873423j),(-0.056742062765700686+0.18173749581544132j),(0.07204988429196403-0.0036935344141148345j),(-0.04760079159421142-0.03187552490490509j),(-0.023458237919273067+0.00750808778116455j),(-0.013255881946641766-0.032023856060787934j)
5,(-0.7841799590259698+0j),(0.009121137853893437-0.036810470237447275j),(-0.018877187576800042-0.10526128038814542j),(0.03492676243576372-0.1922454309064366j),(-0.25807059054709247+0.19502568279858565j),(0.13242310046466838+0.41769305349563063j),(0.18232983744414274+0.04561309193153648j),(-0.4241751837364775+0.32364555574349674j),(-0.26885619292551355+0.0915044958469099j),(0.4514599960120358-0.01097603445012442j),(0.2815530624643642-0.1641330740743001j),(0.030201393137957305+0.018340622378356854j),(-0.06046585936638352-0.008254327918077595j),(-0.028560465470967734+0.02782657140754513j)
6,(-0.7841799590259698+0j),(0.03633990324469288-0.08272903045024568j),(-0.030648583071501402-0.06368589875632331j),(0.06477563647792058-0.1520683981531607j),(-0.21526741417613043+0.21638823042064678j),(0.03375353978322332+0.3329510615611515j),(0.2970058458671663+0.19713558507493678j),(-0.05152249207844829+0.07368827658264361j),(-0.4632544697437671+0.199407123204792j),(0.6312099653416423+0.07455660294540974j),(0.15256675542185416-0.29430293152825737j),(-0.02667079288362547+0.10415111623586301j),(0.02544869637906827+0.005126555876571674j),(0.03265873448054853+0.023306774006512154j)
7,(-0.7534909865306773+0j),(0.0776475839117609-0.093267819879214j),(-0.09076347674883059-0.1851662218970466j),(-0.11027479373656553+0.0116323277563198j),(-0.21426727082878413+0.18316773168428843j),(0.016144123824823588+0.361500568418421j),(0.2215450035163773+0.1604814244369293j),(-0.12532552612460723-0.03838882219224588j),(-0.14488759427742834-0.596163040558289j),(0.43513909134952283+0.13688682401542956j),(-0.010117536533664689-0.3233597140995461j),(0.05927919145631133+0.04143133044113871j),(-0.0872902667881532-0.03258100088253623j),(0.08076682295892541+0.0008245632463733752j)
8,(-0.4698067383408588+0j),(0.04005769201757739-0.05692328535456195j),(-0.03070766381407447-0.15354198119652152j),(0.00696734528171704+0.12790520771581615j),(-0.012658780429874127+0.15867618200249078j),(0.04573719527479484+0.17627256428097546j),(0.03648381092478843-0.3083797629717995j),(-0.2320821543648839+0.30976663641114277j),(-0.41966300956472447-0.23905308009546108j),(0.14042957886395827-0.0820426874466615j),(0.11312864848906595-0.22758031652976046j),(0.017926958164038227+0.13150173029512122j),(0.03221463985498902-0.07781522644954118j),(0.022662900773486747-0.05039197120771857j)
9,(-0.5905236581414448+0j),(0.015692351174204533+0.11220952255297141j),(0.06472144622620055+0.15495680441303405j),(0.01252481476972361+0.1643403716253405j),(-0.1602926233509319+0.18240303726137827j),(0.1895151125728317+0.0843905711869123j),(0.1528576454132831-0.15710658536188996j),(0.1282718204721636-0.6738018521525561j),(-0.05979445766472237+0.12602249715349673j),(0.5492700442590872-0.06984624785587758j),(0.04674862592845362+0.014290891027445914j),(0.029335915849574172-0.09581368908835489j),(0.037475033387323685-0.059038699965498175j),(-0.08787927543816497+0.009301286871426657j)
