,1,6
0,(0.8782063248658605+0j),(0.9112609389153268+0j)
2,(0.8394802077655361+0j),(0.4475464948237824+0j)
4,(0.5928678578388696+0j),(0.4430310738484125+0j)
6,(0.31052537173843875+0j),(1.1931203087703108+0j)
