,amplitude,c_-2,c_-1,c_0,c_1,c_2
0,(0.27234255932753365+0j),(-0.26290970375755013+0.1796627642863218j),(0.09318531417280848+0.5107219808191312j),(-0.5924458307007322-0.3584164391364351j),(-0.0941028554777058-0.4323606389604139j),(-0.14199234060234472+0.22448119916954437j)
1,(-0.08913949551279232+0j),(-0.20698693911603747-0.17403745953679967j),(0.1289412767178752+0.4434135167278566j),(-0.37040034239179914-0.7209023026084591j),(0.044079350186965086-0.39679326566838996j),(-0.03436982902631204-0.01742983809300635j)
2,(0.09685975526358548+0j),(0.07151198198878937-0.13714631605413702j),(-0.20207448683459123+0.15757559940698676j),(-0.493554996786619-0.6013130869313268j),(0.1273925128622196-0.07970518487383804j),(-0.16753016951562977+0.03184746315189151j)
3,(-0.36806982577007497+0j),(-0.2975922653293771-0.08667552125304354j),(-0.0941070123159311+0.196517466972358j),(-0.2653613991719147-0.5709654252125218j),(-0.14232365353894855-0.2934711651006961j),(-0.04838589182274223+0.1035700243002981j)
4,(0.16271662768636994+0j),(-0.20203836541549902+0.08650583144294197j),(-0.033809914539021754-0.0030763686740875873j),(-0.07987239742713703-0.737620596967717j),(-0.27572035081465257+0.02334951054753301j),(0.020803644321039982-0.04675192967073653j)
5,(0.7156989317979813+0j),(-0.2535031723270752+0.113494573313658j),(0.0454836066096313-0.5151807947419439j),(-0.027380838676805935-0.5571252643429156j),(-0.23680254646083432-0.14037332151143458j),(0.005775385818032719+0.005047677554137764j)
6,(0.042493055268101154+0j),(-0.08419654781531581-0.07755293865409726j),(0.1250313445986952-0.41166106736103364j),(-0.14359245627309575-0.46700574941728484j),(-0.14121413499622548+0.32748488469205006j),(0.11986247992772142+0.07474030917176992j)
7,(-0.25072219485959335+0j),(-0.24361270689374334+0.022868640537656876j),(0.236895363766714-0.6399350985252681j),(-0.2410146674409356-0.4744624441302389j),(0.03271253169743701+0.11510242746008642j),(0.1612597237335514+0.1411292345182923j)
8,(-0.006826004985624801+0j),(0.010605914127140015-0.05606582249344878j),(0.3726022628447674-0.2489675892844817j),(-0.1854593421340506-0.67706171293687j),(-0.12339825199925283+0.07690056099129086j),(0.16874130513054647-0.0026649533789087076j)
9,(-0.19651836687302016+0j),(0.12120999851788358-0.24944184717680412j),(0.30207123494949945-0.22727546826942316j),(-0.37901910548149315-0.38693999526630307j),(-0.06717304474089611+0.253230668912481j),(0.2630816414908063+0.05129518754438938j)
10,(0.491274155020353+0j),(-0.058024551960331044-0.17054753097558795j),(0.5887814623575506-0.22861885891896194j),(-0.2946659930028172+0.04988616997080816j),(-0.25507490381286035+0.24990625014071488j),(0.19830106951252693+0.30097357014794984j)
11,(0.31579456205205425+0j),(0.05811564944524274+0.005123765691159465j),(-0.022830424229351762-0.08716518735175449j),(0.2150852917257652+0.18194163875234953j),(-0.8954371365313247+0.33514967212255176j),(-0.054353221048023995-0.046827245098426666j)
