,1,6
0,(0.01844400429522459+0.039298692938711036j),(0.0024581242188075605+0.03528199404769486j)
2,(0.022623807517012116+0.026096314648955267j),(0.01016253874474078-0.00871459885639839j)
4,(-0.027362504599076885+0.06240923741613471j),(0.06019769634403753+0.010345056575150535j)
6,(0.06929405510553158+0.11023278667731845j),(0.0006721480272893042-0.016154500345909994j)
