,1,6
2,(0.008118779550128883-0.0018177714392179842j),(0.010963451051829744+0.005598101836761768j)
4,(0.003921082765852988+0.0024516861344874934j),(0.00594566595893216-0.007218753518501892j)
6,(0.025801418881986414+0.004635663005901161j),(0.039478408544045655-0.03959202420909249j)
