,1,6
2,(-0.005424127126213757-0.002892745782544601j),(-0.00030538940549146363-0.003268157220651203j)
4,(0.011202029833154426-0.001031353240512967j),(-0.018420044357470917+0.00010185757648617637j)
6,(0.001498322195345534-0.04339252784487396j),(-0.04197118074068715-0.03720256366643824j)
