,1,6
2,(0.00487444600177393-0.0031575789274347356j),(0.0011851938978062024-0.00025578927858515904j)
4,(-0.009344814569274431-0.006594813858640452j),(-0.004166783593342601+0.002151897137561803j)
6,(0.001675743970458119+0.00041912510109574496j),(-0.011759517410607778-0.013040924981146503j)
