,amplitude,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6
10,(0.0018084566327823959+0j),(-0.014381403913698068+0.017268106886513198j),(0.009496933223236982-0.0028564463023757155j),(0.021774802488594765-0.001510045834267126j),(0.021705184899490217+0.006988517324094507j),(-0.040425680920703824+0.08579835473484516j),(0.0047278231370381394+0.09709033996847334j),(-0.008103129724934308-0.07721095766473444j),(-0.058950443899116765+0.08399083762346457j),(-0.18389904831912993+0.12333130933607349j),(-0.15526796160640163-0.026641739483144546j),(-0.010138733366193451+0.014334829834800996j),(-0.0016343673607988169+0.02072393786185214j),(0.0063222110110213526-0.023219771772012895j)
11,(-0.27311371355579783+0j),(-0.009732398198373366+0.01623861042530295j),(0.011359458268252114-0.005457419899387441j),(0.020152982142362337-0.0012259477449772951j),(0.022738193312538287+0.0064271159464319464j),(-0.04196890758121163+0.08340143681271736j),(0.011891236799616537+0.10146948288273584j),(-0.011656185982656954-0.07507128652974569j),(-0.049689561763716+0.08711802947032032j),(-0.18023668969705187+0.12263923855125115j),(-0.15487442461808637-0.026133163382787653j),(-0.012212434941281023+0.0135155308631557j),(0.0007072336900902868+0.021279019682455318j),(0.009320658661472426-0.023284109014706487j)
12,(0.1904960878340266+0j),(-0.008886295756545792+0.024152969277858562j),(0.010435037203335171-0.004803916948657341j),(0.017382207245036387-0.011881901531272191j),(0.014559977990935322+0.005795211859814782j),(-0.04225115030505975+0.07760286477406735j),(0.007800736427630493+0.10029829446334101j),(-0.013768387834373457-0.0790502078367694j),(-0.04905964475944979+0.0790371030528103j),(-0.16490938947021005+0.12372022225533763j),(-0.1499635618751327-0.030473319184439067j),(-0.002790045568323013+0.02158311530372312j),(-0.000867273422534079+0.017924382589367387j),(0.0045571362749127625-0.024489302553645412j)
13,(-0.16525191693003666+0j),(-0.013434434578144005+0.015256590403092782j),(0.009739166660540768+0.0061657278355352375j),(0.014832048409978496-0.008774325994395633j),(0.00489248940207856+0.004030977614248073j),(-0.02946662387207181+0.08611176633708877j),(0.01925528864880018+0.09756984464994195j),(-0.01991282901554391-0.0775401087454986j),(-0.047865307980554356+0.09339826276471473j),(-0.16426115257338325+0.12521951381705848j),(-0.16019005908290054-0.028561567316665783j),(0.003026123297901766+0.022800343656710048j),(-0.0002549770751030787+0.027507235291294306j),(0.0074904643081247346-0.03775979861784132j)
14,(-0.6776543870675964+0j),(-0.0012703713498348102+0.00035853580745474727j),(0.021731503763330474+0.038069371793869745j),(0.0038396416773146054-0.017999179691900166j),(0.015686551567432303+0.0038069284296417343j),(-0.01167927912386299+0.08221508584554657j),(-0.004343769335639932+0.11245271030422126j),(-0.023324570344203998-0.08287638985720504j),(-0.04958866048702457+0.08798915943525096j),(-0.16009103201179822+0.1263846727209305j),(-0.16357737099016006-0.027477296987205038j),(0.0011377955109201695+0.015361807858452014j),(-0.005155456116777713+0.043643156791704836j),(0.016566486313911374-0.03268789821236598j)
15,(-0.644297553216687+0j),(0.019599614114370556-0.004270772142706328j),(0.009732924948998887+0.03634136401324594j),(-0.007284084453195162+0.009995837465926942j),(0.008902992882058428+0.0005227141496731156j),(-0.02859666903543995+0.06747872961526498j),(-0.00340218974174733+0.09878338878610139j),(-0.008069030924418368-0.09322805019200582j),(-0.034838752763819945+0.08534145942603558j),(-0.162543177972526+0.1127873096594299j),(-0.1602461761616662-0.01716057546238199j),(0.014873847788323395+0.01701329632406132j),(-0.027739652752250387+0.03499849142290339j),(0.02210083579027029-0.0038526308283492803j)
16,(-0.08872352828732194+0j),(0.003079638203244419+0.0051751354273294106j),(0.057283162296991624+0.02204277905486427j),(0.02084614746136998+0.03970461727968841j),(-0.005126788201783921-0.026889240158037085j),(-0.03000381170218016+0.041840034560960804j),(0.005270663547274726+0.10571038001486471j),(-0.04833470824948932-0.09982588375010065j),(-0.053570397172872534+0.0788748040899649j),(-0.1710953301197624+0.10504184034734693j),(-0.14851727720348415-0.027217773574605225j),(0.0018029425008669047-0.005492021789839432j),(-0.012950990694361734+0.023881577734527513j),(0.02545271706677555-0.013783646219464735j)
17,(0.37045360354288+0j),(-0.032665848649618745+0.024583317688978513j),(0.034601247918761985+0.02505276105020919j),(0.025994116158574748+0.05781391993279345j),(-0.0196438286671944-0.04695055792823103j),(-0.02714924455106118+0.051463924884985815j),(-0.015799050147103814+0.13479668751382393j),(-0.02005752483367019-0.0648370469619341j),(-0.07401509547787317+0.14465175740789535j),(-0.16682632683169343+0.07458413571762758j),(-0.13412760290081532-0.024311513152866768j),(-0.006959265672159593-0.01355901599344898j),(0.012045988559171071+0.03691260619792524j),(0.024949494488711546-0.0136788666230667j)
18,(-0.795964982656231+0j),(-0.052322377570205345+0.040002624772432625j),(0.02987191076238991+0.06936786343081243j),(0.05249943484394634+0.006815477927541682j),(-0.007566859433742708-0.03711636161349578j),(-0.07342746603431566+0.0032906744558091356j),(0.011888819496655212+0.08746653423923755j),(-0.01124205296520904-0.07940423889087012j),(-0.0496303647156285+0.10046644174600872j),(-0.21945586336322348+0.02940189790580582j),(-0.14566986703311657-0.04137006491268188j),(-0.0017036757927309997+0.029668883188401978j),(-0.02393075741545243+0.07517706490740136j),(-0.00905406328817289-0.003941650815064405j)
19,(-0.01271515862878786+0j),(0.03381907468309684+0.021707830295057524j),(0.0020140407660164603+0.0667883767594079j),(-0.008086452847217217+0.009736747376488001j),(-0.05505257679432134-0.10353049514130408j),(-0.07586735079055495-0.08319379352848265j),(0.075127827234696+0.0881524639231507j),(0.028629829324594624-0.09097475667381011j),(-0.036762453445088814+0.08363927627902859j),(-0.2285954538356403+0.04561371569577567j),(-0.06908665244784556-0.047419685977252365j),(0.03600781560890865+0.08707806268764329j),(0.03685660877211547+0.0666018035376818j),(-0.010597540646114182+0.015447058105722054j)
