,abs_amplitude,abs_c_-6,abs_c_-5,abs_c_-4,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3,abs_c_4,abs_c_5,abs_c_6
0,0.1294806172697845,0.023013719744922927,0.0010261806043775372,0.02310832377325622,0.020004938652901233,0.09921975033550179,0.09825870124371094,0.07787586641552804,0.10413194786378735,0.21389852036983595,0.15001561661614649,0.015139839143007622,0.01803205371691591,0.016168822589044434
1,0.5888225961748885,0.022996209252284086,0.0007692561895727637,0.023163458572109646,0.01996882618934909,0.09945553385515693,0.09807569613833718,0.07812924180580923,0.10406022007213367,0.21366223415006177,0.15031000331334324,0.015160448873691883,0.017897028281319706,0.01623443955205887
2,0.6408318972670904,0.02258776332125726,0.0008481621076954166,0.023293708514009547,0.01967353342809018,0.09979471619553129,0.09804913092494759,0.07812999474642558,0.10436165373794538,0.2137503466562056,0.1502361443548912,0.015251071304601613,0.018326463093996104,0.016406563803284438
3,0.4313298572010598,0.022417120531049738,0.0007834088648732182,0.023767474440978768,0.01962709797031137,0.10005648241117202,0.09843794515979055,0.07793572652191877,0.10390209648040592,0.21353478502619014,0.15029954918649935,0.015153857047050683,0.018615173974820102,0.01594968083509149
4,0.27076647223056316,0.02228625068745516,0.0011413576820514778,0.023555287594249512,0.019844948633031982,0.09957836497250429,0.09759055633529334,0.07776642403984327,0.10364019120488079,0.21337598754824616,0.15068638312651,0.014588338319824687,0.01876133006620264,0.015294768543213403
5,0.23426567939842463,0.022766143869555285,0.0015588246082484099,0.023446054017544637,0.01996241353338191,0.09941968330662239,0.09703508203810175,0.07847778421933892,0.10336925499826405,0.2132947562175475,0.1506199819075859,0.014462851785674639,0.01869383551732912,0.01395836220641674
6,0.2655259926822902,0.02223567218840031,0.0012070534180442594,0.023670191093122003,0.02045335524666178,0.09988171570345722,0.09562612565869502,0.07731304337012396,0.10370555145454635,0.21546517909878646,0.1515088618249102,0.013385663172369236,0.01791501494062369,0.01476479756977003
7,0.09585636566322259,0.023149613607701302,0.0022294752558197897,0.02292766412325904,0.01853804921462399,0.10102088790957926,0.09431447526294572,0.07715566345081343,0.10309673554161433,0.2173716620041369,0.15134484148044022,0.014893656222274992,0.01717554404562696,0.017151049501736522
8,0.10328591879590332,0.02380870895914452,0.0034328935126221936,0.023017953400142867,0.02124534046187513,0.10088514730568034,0.09315659904977897,0.07675829225416018,0.10226063286172346,0.2177589799578523,0.15148977387390625,0.015410340137344242,0.01740726077026708,0.018601017510890945
9,0.1671968875882172,0.02403275205089258,0.005201844153128613,0.0235685276752774,0.021705818165176565,0.10075575424817161,0.09437102320272363,0.07622678072253061,0.10544417748408451,0.2173167757359213,0.1540165522127691,0.017283167080646502,0.01824441195943795,0.022988317335782608
10,0.0018084566327823959,0.022472478589888004,0.009917208585331775,0.021827099253883927,0.0228025092020643,0.09484510189308083,0.09720538270491426,0.07763499658558973,0.102613915433503,0.2214259962949968,0.1575370501948502,0.017557940103083425,0.02078828413246156,0.024065081616571476
11,0.27311371355579783,0.01893177337801345,0.012602409456385369,0.020190236182466768,0.023629076463273817,0.09336588705724361,0.10216387555841046,0.07597081500743207,0.10029258999079517,0.21800377782364702,0.15706377567464366,0.0182157388460621,0.021290769317681302,0.02508035905828337
12,0.1904960878340266,0.025735815067916216,0.011487716025589524,0.021055182561741038,0.015670910617978102,0.08835929109744449,0.10060118966030385,0.08024028827586652,0.09302533204941524,0.2061596471920428,0.15302840609636323,0.021762702508813698,0.01794535188842645,0.024909705550088493
13,0.16525191693003666,0.02032849190575076,0.011526819465216017,0.01723306289351584,0.006339182366521736,0.09101383534447675,0.09945170046792774,0.08005616293369322,0.10494914575898186,0.2065469750088749,0.1627163733512015,0.023000284630373208,0.02750841701515111,0.03849557698244334
14,0.6776543870675964,0.0013199967014005548,0.04383532051434701,0.018404165772766847,0.016141889732807845,0.0830405075938466,0.11253657355191847,0.0860960601741169,0.10100063082485873,0.20396623257142177,0.1658690994422274,0.01540388649999305,0.04394660240015549,0.03664624344091781
