,1,6
2,(0.0003890760965970377-0.0003613434197861085j),(-0.0022274686470476553+0.0021474031914893946j)
4,(-0.009962318769746957+0.001184475863405137j),(-0.006695713444055308+0.005941434221293038j)
6,(-0.012005651571938525+0.0014200851284132882j),(-0.024431516678452787-0.04647699285357694j)
