,amplitude,c_0
0,(-0.4719619808532805+0j),(0.5008073867898126+0.8264421504345116j)
1,(0.6945598472223139+0j),(-0.5776277812489659-0.6374474422570313j)
2,(0.13686453687282707+0j),(-0.7497593686883505-0.8456415662946098j)
3,(-0.3237832579165789+0j),(0.7951708966920706+0.8312323100223612j)
4,(-0.41954121872312033+0j),(-0.8036572969594824-0.49384482008917624j)
5,(-0.018329169050781857+0j),(-0.7415636542441693-0.5701348920571576j)
6,(0.013042784289229004+0j),(-0.8413206838869663-0.7600660120419911j)
7,(-0.2046894445948051+0j),(-0.814884829154734-0.08135503640677358j)
8,(-0.6817232915922364+0j),(0.9711469164004276-0.20391494113811887j)
9,(-0.26396991368020295+0j),(0.038544535950956305-1.098070574598106j)
10,(0.8299181879590419+0j),(0.18114768424832786-0.6406022321170055j)
11,(0.6588426211036684+0j),(-0.9363129470354312-0.40709992842741544j)
12,(-0.6230915278122336+0j),(0.5325328068881604-0.5079005251340828j)
13,(-0.3599413267898853+0j),(0.7589878889639015-0.33866194011727146j)
14,(-0.2938970524919311+0j),(-0.17896509948318895+0.6524356015106108j)
15,(-0.3549428715919594+0j),(0.507114122237497-0.8926811432675259j)
16,(-0.0015201363941758847+0j),(0.8305506774877774-0.44154372389811347j)
17,(-0.38701039096442796+0j),(-0.00861964866839142-0.8742544460044018j)
18,(-0.7262716511209203+0j),(-0.537152593468534-0.6014080868043007j)
19,(-0.6292168207341573+0j),(-0.7548679257489764-0.7291558281400295j)
20,(-0.14077663564780996+0j),(0.3644431024290644+0.889326375335851j)
21,(0.44481417310519367+0j),(-0.5998344215910993+0.402807077186296j)
22,(0.6564018012036845+0j),(-1.0171229317572354+0.07884819079170347j)
23,(0.5493273199125418+0j),(-0.8579314199890568+0.049612424918443365j)
24,(-0.49278059620143344+0j),(0.047659475209155124+0.632042520939069j)
25,(-0.41547618089480776+0j),(0.6076856681488948+0.7820309064618534j)
26,(-0.5078487414108748+0j),(-0.2527427495551833+0.7461891698438519j)
27,(-0.5617698321869176+0j),(0.32192601833575213+0.8869244485884962j)
28,(-0.2615554560356675+0j),(0.3761416761100504+0.9033200831114045j)
29,(-0.15532479946533195+0j),(-0.8830735277311117+0.46773198265627886j)
30,(-0.4390579772716014+0j),(0.09963825512830721+0.9062918074016878j)
31,(-0.11608696136721686+0j),(1.0379529083693-0.2840417071639814j)
32,(-0.3538672916298406+0j),(-0.851575988185968+0.6288272662866113j)
33,(0.4233233916304697+0j),(-0.48463253026939934-0.9747717039504303j)
34,(0.08677232450906247+0j),(-0.42398124977267265-1.0405123649541355j)
35,(-0.35886820075003134+0j),(-0.07163970676674619+1.0767249504722396j)
36,(0.011598272191145342+0j),(0.4170280498203314+0.8396516926558836j)
37,(0.4455526699422099+0j),(0.4468542752092448+0.8239814555951123j)
38,(-0.326461991475886+0j),(-0.5754517265668045-0.8850191175597847j)
39,(0.4780680953268017+0j),(-0.5730620881008868+1.1547808374015849j)
40,(-0.4377425551413572+0j),(-0.3527329254164657+0.9260322267669125j)
41,(0.36387721213275037+0j),(-0.4327870433977625+0.847701417422754j)
