,amplitude,c_-2,c_-1,c_0,c_1,c_2
0,(-0.5037706059382072+0j),(-0.10787925818168714+0.045213067204317475j),(-0.2155412163722824+0.18029415469807347j),(0.12078943431521555-0.1531164817951044j),(-0.6213516986094113+0.03468401171163084j),(-0.3083634388138512-0.4032375646276295j)
1,(-0.3745941481290314+0j),(-0.15477967334529039+0.15306900418051003j),(0.10708630331007685-0.2803712616962766j),(-0.13871380540499234+0.8014587957134458j),(0.005984805513736018+0.31769172342594j),(-0.11666259840313639+0.1245274080568981j)
2,(-0.49152219580645284+0j),(0.22135946343885626+0.31282819461513933j),(0.18900111858566843+0.2229236047825831j),(0.7015434550148831+0.14011367215689582j),(-0.225173227557018-0.20129760515281914j),(-0.3307964110620064-0.11727022273858935j)
3,(0.6767744808061944+0j),(-0.1281481253053604+0.026355267541291673j),(0.21475300448076212-0.1055558191705439j),(0.3147881301837159+0.46439220591802044j),(-0.6020992323984642-0.2543231498790048j),(-0.11523258822267529-0.10145752568758276j)
4,(-0.5041628991323411+0j),(0.25381583236949734-0.22394114264492804j),(0.11068144843393635+0.18127102906107972j),(-0.0033268405169027144-0.2856118398394832j),(0.14679003945135907-0.006939106102243825j),(0.1451804134353807-0.11519923688169251j)
5,(0.48356827959900045+0j),(0.6180173614095186+0.2965902181125737j),(0.0651252006219319+0.20101705737903658j),(-0.15190156331602847-0.5867781734233173j),(0.11500731881057394+0.18457085402055304j),(-0.13138741870475906-0.3007870295214928j)
6,(0.5735893200915269+0j),(0.3093719108435064-0.1774838954921686j),(-0.2155025117192833+0.4555798603383918j),(-0.7787628080561042+0.14416055984463075j),(0.06748092823562132+0.1544502389609517j),(-0.006033257075810802-0.16924533299073868j)
7,(0.0947533737446137+0j),(0.16388101659921347-0.04687785776254425j),(0.022818854115744552+0.3482029399280344j),(0.8257660561777276-0.176853606312057j),(0.36147399381413475+0.5038350199601415j),(-0.2052963072028337-0.10664590149701857j)
8,(0.3178609452180534+0j),(-0.10893460190175262+0.1993154774332377j),(-0.3832076771140617+0.4284405817589457j),(-0.193501626067362-0.9091090710049211j),(-0.12393243016361141-0.008531497615273186j),(0.05867067433101228+0.09412969254659392j)
9,(0.33303435355765487+0j),(0.18361102899238302+0.42406477828058364j),(-0.4189862755845636+0.09629151214205589j),(0.03603825887568672+0.2914275942021868j),(0.3656648381225272-0.24312557581555133j),(-0.14294203054181573+0.13617791108233113j)
10,(-0.27906381953526727+0j),(-0.12435352825589621-0.018544015951919526j),(-0.027882737590915474+0.4077135998535855j),(0.4540437890519886-0.5352549401667932j),(0.3554456267875624+0.41133151793904665j),(-0.24972296212206202-0.044881974506441796j)
11,(-0.16248367336684078+0j),(0.1778029705374674-0.4404671602410643j),(0.00825109662521431-0.3130976849128451j),(0.15523667491398152+0.06494007687619596j),(0.04814823289659165-0.3988130052696398j),(0.09477417553929125+0.38560431755671926j)
12,(0.27251681737949696+0j),(0.04361969337521947-0.1656939431606277j),(-0.14901079399553396-0.30764683844023677j),(0.48776401928791463+0.29357510569280143j),(0.3777522492822272+0.25390210849027023j),(0.14881457829130862+0.3060411280986945j)
13,(0.5637459655938056+0j),(-0.217849015703077-0.2142248514708833j),(-0.11569503950053363+0.04409158883398599j),(-0.3611047532278073+0.032103798716934105j),(0.4743466689742639-0.03229852935037268j),(-0.0855020198267653+0.4710379717983362j)
14,(0.7343617152126034+0j),(-0.1047531461384399-0.07164981594522762j),(-0.929247469049159+0.05690686139802331j),(0.3850314372436817-0.09838331322277384j),(0.317669048893317+0.05913006562359796j),(0.3252845825492718-0.005101381613804648j)
15,(0.006110044906795731+0j),(-0.01598936030266537+0.05212193585111864j),(-0.320778410265282+0.5712319667891456j),(0.5679414426528193-0.48515418604514604j),(0.14064694954942034-0.4471715294483252j),(0.06113698513793168-0.2176060349867342j)
