,1,6
0,(-0.0004610619895844858+0j),(0.006513584493535932+0j)
2,(0.00021116287083266242+0j),(-0.03029537397534387+0j)
4,(-0.06579917452573253+0j),(-0.015140425729501122+0j)
6,(0.005712715648682902+0j),(0.17047168872630625+0j)
