,0.0,0.025,0.05
0.9,0.13748117720537878,0.1911282956099804,0.9496519935780562
0.925,0.140893400115466,0.201428150079137,0.7189167246238295
0.9500000000000001,0.14123700153143684,0.2129016380973726,0.660550891666159
0.9750000000000001,0.14566733611625368,0.24144203043203155,0.6236600824817234
1.0,0.15474575109670122,0.2616309426889939,0.5858126176741545
1.0250000000000001,0.15831411814172827,0.725725615192906,0.5784160023254303
1.0500000000000003,0.16406191814757282,0.6668895695219335,0.5527911169113041
1.0750000000000002,0.16475276255457774,0.6194453266753506,0.5409990901561083
1.1,0.16583591590120494,0.6001546554820182,0.5245373078683511
1.1250000000000002,0.17233279706735197,0.5787253259231493,0.5154315616843574
1.1500000000000004,0.18057220587989045,0.5566588675886277,0.5098106753756708
1.1750000000000003,0.1888593330382991,0.5508107852289342,0.5034875480491878
